School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,ISP,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,8/1/2018,8,2018,1065,658,337,70,,2491,563,2127,,554,71,273,,,13,13,,,,,,,,,CA,,3054,234.923077,55471,4267,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,9/1/2018,9,2018,1065,658,337,70,,3757,905,3534,,1073,131,488,,,19,19,,,,,,,,,CA,,4662,245.368421,1073131,56480.57895,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,10/1/2018,10,2018,1065,658,337,70,,4101,966,4522,,1241,140,624,,,21,21,,,,,,,,,CA,,5067,241.285714,1241140,59101.90476,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,11/1/2018,11,2018,1065,658,337,70,,3956,613,3167,,1246,119,393,,,15,15,,,,,,,,,CA,,4569,304.6,1246119,83074.6,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,12/1/2018,12,2018,1065,658,337,70,,2924,612,3086,,905,101,381,,,15,15,,,,,,,,,CA,,3536,235.733333,905101,60340.06667,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,1/1/2019,1,2019,1065,658,337,70,,3403,716,3406,,986,128,457,,,17,17,,,,,,,,,CA,,4119,242.294118,986128,58007.52941,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,2/1/2019,2,2019,1065,658,337,70,,3460,746,3513,,1044,111,511,,,17,17,,,,,,,,,CA,,4206,247.411765,1044111,61418.29412,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,3/1/2019,3,2019,1065,658,337,70,,3970,877,4014,,1130,135,664,,,20,20,,,,,,,,,CA,,4847,242.35,1130135,56506.75,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,4/1/2019,4,2019,1065,658,337,70,,3205,712,3421,,947,124,488,,,17,17,,,,,,,,,CA,,3917,230.411765,947124,55713.17647,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,5/1/2019,5,2019,1065,658,337,70,,4137,822,4460,,1193,101,613,,,22,22,,,,,,,,,CA,,4959,225.409091,1193101,54231.86364,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,Bridgeway Island Elementary,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-5861,3255 Half Moon Bay Cir.,N/A,Elementary,A. Public School District,N,N,N,N,,6/1/2019,6,2019,1065,658,337,70,,506,111,610,,136,13,52,,,3,3,,,,,,,,,CA,,617,205.666667,13613,4537.666667,CA@57726946120745@5772694,5772694,SY18-19,,407,0.382159624,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,8/1/2018,8,2018,805,347,380,78,,2791,650,1483,,989,97,254,,,13,13,,,,,,,,,CA,,3441,264.692308,98997,7615.153846,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,9/1/2018,9,2018,805,347,380,78,,4306,983,2250,,1448,185,374,,,19,19,,,,,,,,,CA,,5289,278.368421,1448185,76220.26316,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,10/1/2018,10,2018,805,347,380,78,,4671,979,3187,,1500,277,671,,,21,21,,,,,,,,,CA,,5650,269.047619,1500277,71441.7619,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,11/1/2018,11,2018,805,347,380,78,,3414,753,2193,,1213,241,474,,,15,15,,,,,,,,,CA,,4167,277.8,1213241,80882.73333,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,12/1/2018,12,2018,805,347,380,78,,3324,768,2131,,1102,188,332,,,15,15,,,,,,,,,CA,,4092,272.8,1102188,73479.2,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,1/1/2019,1,2019,805,347,380,78,,3995,929,2331,,1302,254,375,,,17,17,,,,,,,,,CA,,4924,289.647059,1302254,76603.17647,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,2/1/2019,2,2019,805,347,380,78,,4077,958,2276,,1403,261,438,,,17,17,,,,,,,,,CA,,5035,296.176471,1403261,82544.76471,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,3/1/2019,3,2019,805,347,380,78,,4839,1100,2674,,1591,297,502,,,20,20,,,,,,,,,CA,,5939,296.95,1591297,79564.85,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,4/1/2019,4,2019,805,347,380,78,,4091,968,2431,,1235,209,382,,,17,17,,,,,,,,,CA,,5059,297.588235,1235209,72659.35294,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,5/1/2019,5,2019,805,347,380,78,,4966,1160,2985,,1648,293,519,,,22,22,,,,,,,,,CA,,6126,278.454545,1648293,74922.40909,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
5.77269E+13,SOUTHPORT ELEMENTARY,5772694,Washington Unified School District,CA,YOLO,West Sacramento,95691-4258,2747 Linden Rd.,N/A,Elementary,A. Public School District,N,N,N,N,,6/1/2019,6,2019,805,347,380,78,,579,150,375,,173,40,46,,,3,3,,,,,,,,,CA,,729,243,17340,5780,CA@57726946115463@5772694,5772694,SY18-19,,458,0.568944099,Primary,Public,,,,,,
