School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
Black Mountain Elementary School,4244,5134,Cave Creek Unified District,,Maricopa,,85331,,,,Regular School,N,,,,,,,,,,,,,6473,311,24298,,2285,105,2278,,167,167,167,,Cafeteria,,,,,,,AZ,6784,40.622754491,2390,14.311377246,AZ@5134@4244,040000100120,SY16-17,,,0.12,,Public,,,,Cafeteria,,
Desert Sun Academy,4244,5136,Cave Creek Unified District,,Maricopa,,85331,,,,Charter School,N,,,,,,,,,,,,,7400,644,22621,,1593,24,2831,,167,167,167,,Cafeteria,,,,,,,AZ,8044,48.167664671,1617,9.682634731,AZ@5136@4244,040000100616,SY16-17,,,0.14,,Charter,,,,Cafeteria,,
Cactus Shadows High School,4244,5137,Cave Creek Unified District,,Maricopa,,85331,,,,Regular School,N,,,,,,,,,,,,,8237,2703,66672,,1580,161,2387,,167,167,167,,Cafeteria,,,,,,,AZ,10940,65.508982036,1741,10.425149701,AZ@5137@4244,040000101204,SY16-17,,,0.06,,Public,,,,Cafeteria,,
Sonoran Trails Middle School,4244,78911,Cave Creek Unified District,,Maricopa,,85085,,,,Regular School,N,,,,,,,,,,,,,7560,2633,60978,,1377,115,4039,,167,167,167,,Cafeteria,,,,,,,AZ,10193,61.035928144,1492,8.934131737,AZ@78911@4244,040000101871,SY16-17,,,0.08,,Public,,,,Cafeteria,,
Desert Willow Elementary School,4244,78912,Cave Creek Unified District,,Maricopa,,85331,,,,Charter School,N,,,,,,,,,,,,,3899,869,33916,,643,272,6052,,167,167,167,,Cafeteria,,,,,,,AZ,4768,28.550898204,915,5.479041916,AZ@78912@4244,040000101872,SY16-17,,,0.07,,Charter,,,,Cafeteria,,
Lone Mountain Elementary School,4244,80056,Cave Creek Unified District,,Maricopa,,85331,,,,Charter School,N,,,,,,,,,,,,,5485,1561,35684,,735,171,4659,,167,167,167,,Cafeteria,,,,,,,AZ,7046,42.191616766,906,5.425149701,AZ@80056@4244,040000102344,SY16-17,,,0.1,,Charter,,,,Cafeteria,,
Horseshoe Trails Elementary School,4244,87477,Cave Creek Unified District,,Maricopa,,85262,,,,Charter School,N,,,,,,,,,,,,,6373,455,40668,,1802,149,8213,,167,167,167,,Cafeteria,,,,,,,AZ,6828,40.886227545,1951,11.682634731,AZ@87477@4244,040000102484,SY16-17,,,0.08,,Charter,,,,Cafeteria,,
Del Rio Elementary School,4474,6108,Chino Valley Unified District,,Yavapai,,86323,,,,Regular School,N,,,,,,,,,,,,,52270,6558,11993,,56069,8004,23993,,167,167,167,,BIC,,,,,,,AZ,58828,352.263473054,64073,383.670658683,AZ@6108@4474,040000300147,SY16-17,,,0.65,,Public,,,,BIC,,
Heritage Middle School,4474,6109,Chino Valley Unified District,,Yavapai,,86323,,,,Regular School,N,,,,,,,,,,,,,32872,3860,7684,,41223,6135,24192,,167,167,167,,BIC,,,,,,,AZ,36732,219.952095808,47358,283.580838323,AZ@6109@4474,040000301198,SY16-17,,,0.59,,Public,,,,BIC,,
Chino Valley High School,4474,6110,Chino Valley Unified District,,Yavapai,,86323,,,,Regular School,N,,,,,,,,,,,,,31900,4848,17738,,35005,6653,36064,,167,167,167,,BIC,,,,,,,AZ,36748,220.047904192,41658,249.449101796,AZ@6110@4474,040000301458,SY16-17,,,0.47,,Public,,,,BIC,,
