BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,District ID,District Name,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced
,,,,,,,,,387,,,6040-000,Academics Plus Charter SD,AR@000@6040-000,214.659574468,40356,234.462765957,44079,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,188,188,288,99,33304,34604,7052,9475,,,,
,,,,,,,,,1892,,,1701-000,ALMA,AR@000@1701-000,987.322222222,177718,1111.733333333,200112,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,180,180,1517,375,144702,167350,33016,32762,,,,
,,,,,,,,,405,,,0501-000,ALPENA,AR@000@0501-000,199.948571429,34991,267.4,46795,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,310,95,27992,36534,6999,10261,,,,
,,,,,,,,,76,,,6091-000,AR BLIND SCHOOL,AR@000@6091-000,31.554285714,5522,49.771428571,8710,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,71,5,4950,8086,572,624,,,,
,,,,,,,,,93,,,6092-000,AR DEAF SCHOOL,AR@000@6092-000,36.228571429,6340,59.388571429,10393,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,75,18,5477,8991,863,1402,,,,
,,,,,,,,,1172,,,1002-000,ARKADELPHIA,AR@000@1002-000,542.428571429,94925,709.611428571,124182,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,981,191,83647,106074,11278,18108,,,,
,,,,,,,,,247,,,0440-000,AR ARTS ACADEMY,AR@000@0440-000,48.079545455,8462,144.681818182,25464,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,172,75,6588,17819,1874,7645,,,,
,,,,,,,,,225,,,4701-000,ARMOREL,AR@000@4701-000,74.310344828,12930,125.120689655,21771,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,174,174,153,72,9169,15410,3761,6361,,,,
,,,,,,,,,1130,,,4101-000,ASHDOWN,AR@000@4101-000,352.079096045,62318,625.589887640,111355,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,178,963,167,54751,95776,7567,15579,,,,
,,,,,,,,,804,,,5801-000,ATKINS,AR@000@5801-000,279.587570621,49487,533.158192090,94369,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,644,160,43571,79518,5916,14851,,,,
,,,,,,,,,428,,,7401-000,AUGUSTA,AR@000@7401-000,254.346590909,44765,341.585227273,60119,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,428,0,44765,60119,0,0,,,,
