ISP,State-Reporting,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,District ID,District Name,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced
,AR,,,,,,,,,,,,,,430,,,AR@000@6040-000,241.005319149,45309,274.712765957,51646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6040-000,ACADEMIC PLUS SD,188,188,323,107,37592,41385,7717,10261
,AR,,,,,,,,,,,,,,1807,,,AR@000@1701-000,911.883977901,165051,1091.419889503,197547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1701-000,ALMA SD,181,181,1390,417,132707,163336,32344,34211
,AR,,,,,,,,,,,,,,409,,,AR@000@0501-000,181.659090909,31972,245.852272727,43270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0501-000,ALPENA SD,176,176,327,82,28180,37200,3792,6070
,AR,,,,,,,,,,,,,,72,,,AR@000@6091-000,28.491525424,5043,47.902857143,8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6091-000,AR SCHOOL F/T BLIND SD,177,175,66,6,4737,7742,306,641
,AR,,,,,,,,,,,,,,100,,,AR@000@6092-000,48.636363636,8560,59.375,10450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6092-000,AR SCHOOL F/T DEAF SD,176,176,78,22,6865,8312,1695,2138
,AR,,,,,,,,,,,,,,1121,,,AR@000@1002-000,494.275280899,87981,707.382022472,125914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1002-000,ARKADELPHIA SD,178,178,896,225,74603,106244,13378,19670
,AR,,,,,,,,,,,,,,305,,,AR@000@0440-000,69.124293785,12235,195.333333333,34574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0440-000,ARKANSAS ARTS ACADEMY SD,177,177,235,70,10147,27852,2088,6722
,AR,,,,,,,,,,,,,,222,,,AR@000@4701-000,73.090909091,12864,126.5,22264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4701-000,ARMOREL SD,176,176,156,66,10100,16987,2764,5277
,AR,,,,,,,,,,,,,,1133,,,AR@000@4101-000,366.140449438,65173,631.971910112,112491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4101-000,ASHDOWN SD,178,178,973,160,58382,98768,6791,13723
,AR,,,,,,,,,,,,,,753,,,AR@000@5801-000,275.674157303,49070,522.949438202,93085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5801-000,ATKINS SD,178,178,625,128,41669,77315,7401,15770
,AR,,,,,,,,,,,,,,428,,,AR@000@7401-000,238.102857143,41668,322.84,56497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7401-000,AUGUSTA SD,175,175,428,0,41668,56497,0,0
,AR,,,,,,,,,,,,,,903,,,AR@000@7301-000,293.146067416,52180,537.702247191,95711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7301-000,BALD KNOB SD,178,178,728,175,43553,80611,8627,15100
,AR,,,,,,,,,,,,,,648,,,AR@000@5401-000,189.494382022,33730,453.028089888,80639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,5401-000,BARTON-LEXA SD,178,178,648,0,33730,80639,0,0
,AR,,,,,,,,,,,,,,1982,,,AR@000@3201-000,698.502590674,134811,1240.264248705,239371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3201-000,BATESVILLE SD,193,193,1671,311,118531,208532,16280,30839
