Unique ID,District Name,School Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,School ID
DE@SD1@GD319,Academia Antonia Alonso,Academia,,,,,,,,,Y,,,,,10/1/2016,10,2016,415,,388,,,,,,7787,,,,7081,,21,21,,GNG,,,,,,,DE,7787,370.809523810,7081,337.190476190,,SY16-17,,,,,,,,,GNG,,,GD319,SD1
DE@SD2@GD320,Academy of Dover,Academy of Dover Charter,,,,,,,,,Y,,,,,10/1/2016,10,2016,249,,249,0,,,,,4322,,,,3814,,20,20,,,,,,,,,DE,4322,216.1,3814,190.7,,SY16-17,,249,,,,,,,,,,GD320,SD2
DE@SD12@GD321,Appoquinimink,Middletown High,,,,,,,,,,,,,,10/1/2016,10,2016,1508,,333,47,,,,,4015,,,,1140,,18,18,,,,,,,,,DE,4015,223.055555556,1140,63.333333333,,SY16-17,,380,,,,,,,,,,GD321,SD12
DE@SD4@GD321,Appoquinimink,Appoquinimink High,,,,,,,,,,,,,,10/1/2016,10,2016,1636,,305,55,,,,,3811,,,,1447,,18,19,,,,,,,,,DE,3811,200.578947368,1447,80.388888889,,SY16-17,,360,,,,,,,,,,GD321,SD4
DE@SD10@GD321,Appoquinimink,Everett Meredith Middle,,,,,,,,,,,,,,10/1/2016,10,2016,865,,253,28,,,,,3373,,,,666,,19,18,,,,,,,,,DE,3373,187.388888889,666,35.052631579,,SY16-17,,281,,,,,,,,,,GD321,SD10
DE@SD11@GD321,Appoquinimink,Louis L. Redding Middle,,,,,,,,,,,,,,10/1/2016,10,2016,849,,236,37,,,,,3581,,,,1120,,18,19,,,,,,,,,DE,3581,188.473684211,1120,62.222222222,,SY16-17,,273,,,,,,,,,,GD321,SD11
DE@SD3@GD321,Appoquinimink,Alfred G. Waters Middle,,,,,,,,,,,,,,10/1/2016,10,2016,967,,98,17,,,,,1264,,,,179,,19,19,,,,,,,,,DE,1264,66.526315789,179,9.421052632,,SY16-17,,115,,,,,,,,,,GD321,SD3
DE@SD15@GD321,Appoquinimink,Silver Lake Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,505,,206,21,,,,,3289,,,,1457,,19,18,,,,,,,,,DE,3289,182.722222222,1457,76.684210526,,SY16-17,,227,,,,,,,,,,GD321,SD15
DE@SD9@GD321,Appoquinimink,Cedar Lane Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,706,,91,17,,,,,1287,,,,576,,19,19,,,,,,,,,DE,1287,67.736842105,576,30.315789474,,SY16-17,,108,,,,,,,,,,GD321,SD9
DE@SD14@GD321,Appoquinimink,Olive B. Loss Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,631,,66,9,,,,,892,,,,418,,19,18,,,,,,,,,DE,892,49.555555556,418,22,,SY16-17,,75,,,,,,,,,,GD321,SD14
DE@SD6@GD321,Appoquinimink,Brick Mill Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,523,,181,23,,,,,2769,,,,1765,,19,19,,,,,,,,,DE,2769,145.736842105,1765,92.894736842,,SY16-17,,204,,,,,,,,,,GD321,SD6
DE@SD7@GD321,Appoquinimink,Bunker Hill Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,575,,164,24,,,,,2473,,,,1149,,18,19,,,,,,,,,DE,2473,130.157894737,1149,63.833333333,,SY16-17,,188,,,,,,,,,,GD321,SD7
DE@SD13@GD321,Appoquinimink,Old State Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,669,,136,15,,,,,1936,,,,703,,19,18,,,,,,,,,DE,1936,107.555555556,703,37,,SY16-17,,151,,,,,,,,,,GD321,SD13
DE@SD18@GD321,Appoquinimink,Townsend Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,408,,139,8,,,,,1946,,,,591,,19,19,,,,,,,,,DE,1946,102.421052632,591,31.105263158,,SY16-17,,147,,,,,,,,,,GD321,SD18
DE@SD8@GD321,Appoquinimink,Cedar Lane ECC,,,,,,,,,,,,,,10/1/2016,10,2016,237,,40,6,,,,,558,,,,200,,19,19,,,,,,,,,DE,558,29.368421053,200,10.526315789,,SY16-17,,46,,,,,,,,,,GD321,SD8
DE@SD16@GD321,Appoquinimink,Spring Meadow ECC,,,,,,,,,,,,,,10/1/2016,10,2016,236,,46,6,,,,,608,,,,347,,18,18,,,,,,,,,DE,608,33.777777778,347,19.277777778,,SY16-17,,52,,,,,,,,,,GD321,SD16
DE@SD17@GD321,Appoquinimink,Townsend ECC,,,,,,,,,,,,,,10/1/2016,10,2016,234,,75,4,,,,,1043,,,,403,,19,19,,,,,,,,,DE,1043,54.894736842,403,21.210526316,,SY16-17,,79,,,,,,,,,,GD321,SD17
DE@SD5@GD321,Appoquinimink,Appoquinimink Preschool,,,,,,,,,,,,,,10/1/2016,10,2016,175,,28,1,,,,,200,,,,0,,0,19,,,,,,,,,DE,200,10.526315789,0,,,SY16-17,,29,,,,,,,,,,GD321,SD5
DE@SD19@GD322,Aspira,Las Americas ASPIRA,,,,,,,,,,,,,,10/1/2016,10,2016,698,,274,46,,,,,4353,,,,1985,,20,20,,GNG,,,,,,,DE,4353,217.65,1985,99.25,,SY16-17,,320,,,,,,,GNG,,,GD322,SD19
DE@SD27@GD323,Branywine,Hanby Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,542,,145,8,,,,,2156,,,,1349,,17,17,,GNG,,,,,,,DE,2156,126.823529412,1349,79.352941176,,SY16-17,,153,,,,,,,GNG,,,GD323,SD27
DE@SD22@GD323,Branywine,Carrcroft Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,497,,0,0,,,,,4623,,,,3495,,17,16,,GNG,,,,,,,DE,4623,288.9375,3495,205.588235294,,SY16-17,,0,,,,,,,GNG,,,GD323,SD22
DE@SD26@GD323,Branywine,Forwood Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,365,,119,13,,,,,1868,,,,512,,17,16,,,,,,,,,DE,1868,116.75,512,30.117647059,,SY16-17,,132,,,,,,,,,,GD323,SD26
DE@SD29@GD323,Branywine,Lancashire Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,512,,149,31,,,,,2448,,,,781,,16,17,,,,,,,,,DE,2448,144,781,48.8125,,SY16-17,,180,,,,,,,,,,GD323,SD29
DE@SD30@GD323,Branywine,Lombardy Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,501,,161,7,,,,,2428,,,,1522,,17,17,,GNG,,,,,,,DE,2428,142.823529412,1522,89.529411765,,SY16-17,,168,,,,,,,GNG,,,GD323,SD30
DE@SD31@GD323,Branywine,Maple Lane Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,442,,0,0,,,,,3689,,,,1799,,15,15,,GNG,,,,,,,DE,3689,245.933333333,1799,119.933333333,,SY16-17,,0,,,,,,,GNG,,,GD323,SD31
DE@SD23@GD323,Branywine,Claymont Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,826,,0,0,,,,,8215,,,,3333,,16,17,,,,,,,,,DE,8215,483.235294118,3333,208.3125,,SY16-17,,0,,,,,,,,,,GD323,SD23
