Unique ID,District Name,School ID,District ID,School Name,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),School Type-Original,Street Address-Line 2,State-Physical,Enrollment-Reduced,Enrollment-Free,Enrollment-Total,School Year,School Level-Original,Street Address-Line 1,City,Zip Code,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,NCES ID,County
GA@0001@11194,KIP ACADEMY INC,0001,11194,"KIP Academy, Inc.",,,,,,,,,,,,44.620689655,9058,128.054347826,23562,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2470 Bruce Street,Lithonia,30058,N,,N,,184,203,2782,8293,765,3999,22619,943,,
GA@0001@11196,Atlanta Neighborhood Charter School,0001,11196,Atlanta Neighborhood Elementary Campus,,,,,,,,,,,,9.502392344,1986,21.980861244,4594,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,688 Grant Street SE,Atlanta,30315,N,,N,,209,209,3135,1732,254,31725,3934,660,,
GA@0002@11196,Atlanta Neighborhood Charter School,0002,11196,Atlanta Neighborhood Middle Campus,,,,,,,,,,,,10.612440191,2218,34.282296651,7165,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,820 Essie Avenue,Atlanta,30316,N,,N,,209,209,655,1831,387,15130,5924,1241,,
GA@0001@11198,GEORGIA CHARTER EDUCATIONAL FOUNDAT,0001,11198,Cherokee Charter Academy,,,,,,,,,,,,31.769662921,5655,126.573033708,22530,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2126 Sixes Road,Canton,30114,N,,N,,178,178,1244,5124,531,21822,19534,2996,,
GA@0002@11198,GEORGIA CHARTER EDUCATIONAL FOUNDAT,0002,11198,Coweta Charter Academy,,,,,,,,,,,,29.722222222,5350,95.438888889,17179,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,6675 E. Hwy 16,Senoia,30276,N,,N,,180,180,2791,4660,690,15326,13345,3834,,
GA@0008@11212,MOUNTAIN EDUCATION CENTER SCHOOL,0008,11212,Mountain Education Center White Site,,,,,,,,,,,,,0,211.295774648,30004,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,328 Old Blairsville Road,Cleveland,30528,N,N,Y,N,142,0,0,0,0,9595,26253,3751,,
GA@0013@11212,MOUNTAIN EDUCATION CENTER SCHOOL,0013,11212,Mountain Education Center-Hall Site,,,,,,,,,,,,,0,12.833333333,308,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2723 Tumbling Creek Road,Gainesville,30504,N,N,Y,N,24,0,0,0,0,421,306,2,,
GA@0014@11212,MOUNTAIN EDUCATION CENTER SCHOOL,0014,11212,Dawson Site,,,,,,,,,,,,,0,8,208,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,175 Tiger Circle,Dawsonville,30534,N,,N,,26,0,0,0,0,169,186,22,,
GA@0015@11212,MOUNTAIN EDUCATION CENTER SCHOOL,0015,11212,Bartow Site,,,,,,,,,,,,,0,11.478260870,264,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,738 Grassdale Road,Cartersville,30121,N,,N,,23,0,0,0,0,234,259,5,,
GA@0001@11247,Destiny Achievers Academy of Excell,0001,11247,Destiny Achievers Academy of Excellence,,,,,,,,,1,,,97.640449438,17380,137.062146893,24260,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,3595 Linecrest Road,Decatur,30294,Y,N,N,N,177,178,0,17380,0,0,24260,0,,
GA@0001@11254,Neighborhood Enterprises Inc.,0001,11254,Neighborhood Academy,,,,,,,,,,,,4.019047619,422,4.657142857,489,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2742 Millerfield Road,Macon,31217,N,,N,,105,105,0,422,0,0,489,0,,
GA@0001@11255,TAPESTRY PUBLIC CHARTER SCHOOL,0001,11255,Tapestry Public Charter,,,,,,,,,,,,,0,20.091428571,3516,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,3130 Raymond Drive,Doraville,30340,N,,N,,175,0,0,0,0,1955,3191,325,,
GA@0001@11261,"YOUTH VILLAGES, INC",0001,11261,Youth Villages,,,,,,,,,,,,76.936986301,28082,92.068493151,33605,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,4685 Dorsett Shoals Road,Douglasville,30135,N,,N,,365,365,0,28082,0,0,33605,0,,
GA@0001@11263,HILLSIDE INC.,0001,11263,Hillside Inc.,,,,,,,,,,,,62.769863014,22911,60.830136986,22203,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,690 Courtenay Drive,Atlanta,30306,N,,N,,365,365,0,22911,0,0,22203,0,,
GA@0001@11264,GREENBRIAR CHILDREN'S CENTER INC,0001,11264,"Greenbriar Children's Center, Inc.",,,,,,,,,,,,7.117808219,2598,2.682191781,979,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,3709 Hopkins Street,Savannah,31405,N,,N,,365,365,0,2598,0,0,979,0,,
GA@0001@11266,TWIN CEDARS YOUTH & FAMILY SERVICES,0001,11266,Bradfield Center,,,,,,,,,,,,48.509536785,17803,43.621253406,16009,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1022 E. Depot,LaGrange,30241,N,,N,,367,367,0,17803,0,0,16009,0,,
