Street Address-Line 1,State-Physical,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,District ID,School Name,School Level-Original,School ID,City,Zip Code,County,CEP (Y/N),Claim Date,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days,Breakfast Delivery Model from State Agency Tracking-Original
,,,,,,,,8,2016,,,,,22,22,,Cafeteria,,,,,,,HI,4683,212.863636364,3009,136.772727273,HI@324@1434-6,150003000022,SY16-17,,252,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,8/1/2016,245,252,0,3009,0,0,4683,0,0,22,Cafeteria Breakfast
,,,,,,,,9,2016,,,,,20,20,,Cafeteria,,,,,,,HI,4064,203.2,2658,132.9,HI@324@1434-6,150003000022,SY16-17,,293,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,9/1/2016,245,293,0,2658,0,0,4064,0,0,20,Cafeteria Breakfast
,,,,,,,,10,2016,,,,,16,16,,Cafeteria,,,,,,,HI,3178,198.625,2056,128.5,HI@324@1434-6,150003000022,SY16-17,,245,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,10/1/2016,245,245,0,2056,0,0,3178,0,0,16,Cafeteria Breakfast
,,,,,,,,11,2016,,,,,18,18,,Cafeteria,,,,,,,HI,3736,207.555555556,2463,136.833333333,HI@324@1434-6,150003000022,SY16-17,,241,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,11/1/2016,245,241,0,2463,0,0,3736,0,0,18,Cafeteria Breakfast
,,,,,,,,12,2016,,,,,15,15,,Cafeteria,,,,,,,HI,2718,181.2,1856,123.733333333,HI@324@1434-6,150003000022,SY16-17,,241,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,12/1/2016,245,241,0,1856,0,0,2718,0,0,15,Cafeteria Breakfast
,,,,,,,,1,2017,,,,,15,15,,Cafeteria,,,,,,,HI,2405,160.333333333,1915,127.666666667,HI@324@1434-6,150003000022,SY16-17,,237,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,1/1/2017,245,237,0,1915,0,0,2405,0,0,15,Cafeteria Breakfast
,,,,,,,,2,2017,,,,,18,18,,Cafeteria,,,,,,,HI,3318,184.333333333,2113,117.388888889,HI@324@1434-6,150003000022,SY16-17,,232,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,2/1/2017,245,232,0,2113,0,0,3318,0,0,18,Cafeteria Breakfast
,,,,,,,,3,2017,,,,,17,17,,Cafeteria,,,,,,,HI,3231,190.058823529,2154,126.705882353,HI@324@1434-6,150003000022,SY16-17,,236,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,3/1/2017,245,236,0,2154,0,0,3231,0,0,17,Cafeteria Breakfast
,,,,,,,,4,2017,,,,,19,19,,Cafeteria,,,,,,,HI,3694,194.421052632,2474,130.210526316,HI@324@1434-6,150003000022,SY16-17,,236,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,4/1/2017,245,236,0,2474,0,0,3694,0,0,19,Cafeteria Breakfast
,,,,,,,,5,2017,,,,,20,20,,Cafeteria,,,,,,,HI,3587,179.35,2479,123.95,HI@324@1434-6,150003000022,SY16-17,,235,1,Primary,,,,,,,Hawaii DOE,1434-6,Blanche Pope Elementary,Elementary,324,Waimanalo,96795,Honolulu,Y,5/1/2017,245,235,0,2479,0,0,3587,0,0,20,Cafeteria Breakfast
