State-Reporting,School Type-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,State-Physical,School Level-Standardized,County,City,School ID,School Name,District ID,District Name,School Level-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
IN,,,,,,,Morgan,,6331,John R. Wooden Middle School,5925,MSD of Martinsville,,N,,N,,,10/1/2017,10,2017,750,351,298,101,,3704,1076,2547,,1339,453,1229,,,16,16,,Breakfast in the classroom,,,,,,,4780,298.75,1792,112,IN@6331@5925,180651001136,SY17-18,,399,0.532,,,,,BIC,,
IN,,,,,,,Marion,,5183,Liberty Early Elementary School,5300,MSD of Decatur Twp,,N,,N,,,10/1/2017,10,2017,600,283,274,43,,3178,478,2103,,3077,473,3033,,,16,16,,Breakfast in the classroom,,,,,,,3656,228.5,3550,221.875,IN@5183@5300,,SY17-18,,317,0.528333333,,,,,BIC,,
IN,,,,,,,Marion,,5524,Indianapolis Lighthouse Charter School East,9575,Indianapolis Lighthouse Charter School,,Y,,N,,,10/1/2017,10,2017,368,0,368,0,,3717,0,0,,2397,0,0,,,18,18,,Breakfast in the classroom,,,,,,,3717,206.5,2397,133.166666667,IN@5524@9575,,SY17-18,,368,1,,,,,BIC,,
IN,,,,,,,Marion,,5741,KIPP Unite College Prep Elementary,9400,KIPP Indy Public Schools,,Y,,N,,,10/1/2017,10,2017,445,0,445,0,,7056,0,0,,6264,0,0,,,19,19,,Breakfast in the classroom,,,,,,,7056,371.368421053,6264,329.684210526,IN@5741@9400,,SY17-18,,445,1,,,,,BIC,,
IN,,,,,,,Lake,,4033,Roosevelt Career/Technical Academy,4690,Gary Community School Corporation,,Y,,N,,,10/1/2017,10,2017,613,0,613,0,,6467,0,0,,3907,0,0,,,20,20,,Breakfast in the classroom,,,,,,,6467,323.35,3907,195.35,IN@4033@4690,,SY17-18,,613,1,,,,,BIC,,
IN,,,,,,,Marion,,5362,Perry Township Pre-School,5340,Perry Township Schools,,N,,N,,,10/1/2017,10,2017,212,85,107,20,,1144,161,295,,181,61,88,,,12,12,,Breakfast in the classroom,,,,,,,1305,108.75,242,20.166666667,IN@5362@5340,,SY17-18,,127,0.599056604,,,,,BIC,,
IN,,,,,,,Allen,,0996,Center for Academic Success at Nebraska,0235,Fort Wayne Community Schools,,Y,,N,,,10/1/2017,10,2017,76,4,72,0,,1047,0,56,,642,0,35,,,21,21,,Breakfast in the classroom,,,,,,,1047,49.857142857,642,30.571428571,IN@0996@0235,,SY17-18,,72,0.949229374,,,,,BIC,,
IN,,,,,,,Hendricks,,0707,Brownsburg Early Childhood Center,3305,Brownsburg Community School Corp,,N,,N,,,10/1/2017,10,2017,249,202,38,9,,12,12,203,,0,0,19,,,12,12,,Breakfast in the classroom,,,,,,,24,2,0,0,IN@0707@3305,,SY17-18,,47,0.188755020,,,,,BIC,,
IN,,,,,,,DeKalb,,Z099,Change Academy,1835,DeKalb Co Central United Schools,,N,,Y,,,10/1/2017,10,2017,11,3,5,3,,76,44,56,,76,44,56,,,17,17,,Breakfast in the classroom,,,,,,,120,7.058823529,120,7.058823529,IN@Z099@1835,,SY17-18,,8,0.727272727,,,,,BIC,,
IN,,,,,,,Marion,,Z043,Homecroft Kindergarten Academy,5340,Perry Township Schools,,N,,N,,,10/1/2017,10,2017,336,44,263,29,,2753,302,225,,2432,263,355,,,12,12,,Breakfast in the classroom,,,,,,,3055,254.583333333,2695,224.583333333,IN@Z043@5340,,SY17-18,,292,0.869047619,,,,,BIC,,
