School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,5/1/2017,5,2017,531,,146,54,,1459,451,0,,1118,306,903,,15,15,15,,"Traditional, Second Chance,",,,,,,,KS,1910,127.333333333,1424,94.933333333,KS@6476@D0435,200318001063,SY16-17,,200,0.376647834,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,4/1/2017,4,2017,532,,146,54,,2018,660,0,,1503,419,1292,,19,19,19,,"Traditional, Second Chance,",,,,,,,KS,2678,140.947368421,1922,101.157894737,KS@6476@D0435,200318001063,SY16-17,,200,0.375939850,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,3/1/2017,3,2017,535,,148,54,,1704,523,0,,1178,348,1054,,15,15,15,,"Traditional, Second Chance,",,,,,,,KS,2227,148.466666667,1526,101.733333333,KS@6476@D0435,200318001063,SY16-17,,202,0.377570093,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,2/1/2017,2,2017,528,,141,55,,2028,669,0,,1387,456,1180,,19,19,19,,"Traditional, Second Chance,",,,,,,,KS,2697,141.947368421,1843,97,KS@6476@D0435,200318001063,SY16-17,,196,0.371212121,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,1/1/2017,1,2017,525,,139,55,,2148,699,0,,1341,409,1080,,19,19,19,,"Traditional, Second Chance,",,,,,,,KS,2847,149.842105263,1750,92.105263158,KS@6476@D0435,200318001063,SY16-17,,194,0.369523810,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,12/1/2016,12,2016,513,,129,55,,1596,561,0,,1190,327,976,,14,14,14,,"Traditional, Second Chance,",,,,,,,KS,2157,154.071428571,1517,108.357142857,KS@6476@D0435,200318001063,SY16-17,,184,0.358674464,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,11/1/2016,11,2016,533,,144,56,,2080,717,0,,1392,380,1124,,18,18,18,,"Traditional, Second Chance,",,,,,,,KS,2797,155.388888889,1772,98.444444444,KS@6476@D0435,200318001063,SY16-17,,200,0.375234522,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,10/1/2016,10,2016,533,,144,56,,2187,704,0,,1419,368,1193,,18,18,18,,"Traditional, Second Chance,",,,,,,,KS,2891,160.611111111,1787,99.277777778,KS@6476@D0435,200318001063,SY16-17,,200,0.375234522,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,9/1/2016,9,2016,544,,160,64,,2643,1010,0,,1519,433,919,,20,20,20,,"Traditional, Second Chance,",,,,,,,KS,3653,182.65,1952,97.6,KS@6476@D0435,200318001063,SY16-17,,224,0.411764706,,,,,,Other,,
6476,Abilene High,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,8/1/2016,8,2016,554,,165,69,,1481,580,0,,607,163,256,,11,11,11,,"Traditional, Second Chance,",,,,,,,KS,2061,187.363636364,770,70,KS@6476@D0435,200318001063,SY16-17,,234,0.422382671,,,,,,Other,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,5/1/2017,5,2017,377,,113,38,,1353,433,0,,712,77,329,,15,15,15,,"Traditional,",,,,,,,KS,1786,119.066666667,789,52.6,KS@6475@D0435,200318001062,SY16-17,,151,0.400530504,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,4/1/2017,4,2017,378,,114,38,,1930,593,0,,979,109,457,,19,19,19,,"Traditional,",,,,,,,KS,2523,132.789473684,1088,57.263157895,KS@6475@D0435,200318001062,SY16-17,,152,0.402116402,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,3/1/2017,3,2017,383,,117,39,,1556,480,0,,775,83,349,,15,15,15,,"Traditional,",,,,,,,KS,2036,135.733333333,858,57.2,KS@6475@D0435,200318001062,SY16-17,,156,0.407310705,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,2/1/2017,2,2017,383,,117,39,,1922,604,0,,980,112,412,,19,19,19,,"Traditional,",,,,,,,KS,2526,132.947368421,1092,57.473684211,KS@6475@D0435,200318001062,SY16-17,,156,0.407310705,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,1/1/2017,1,2017,385,,117,39,,1977,615,0,,942,110,414,,19,19,19,,"Traditional,",,,,,,,KS,2592,136.421052632,1052,55.368421053,KS@6475@D0435,200318001062,SY16-17,,156,0.405194805,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,12/1/2016,12,2016,381,,118,37,,1611,478,0,,840,86,353,,15,15,15,,"Traditional,",,,,,,,KS,2089,139.266666667,926,61.733333333,KS@6475@D0435,200318001062,SY16-17,,155,0.406824147,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,11/1/2016,11,2016,379,,115,38,,1843,583,0,,997,114,401,,18,18,18,,"Traditional,",,,,,,,KS,2426,134.777777778,1111,61.722222222,KS@6475@D0435,200318001062,SY16-17,,153,0.403693931,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,10/1/2016,10,2016,382,,117,38,,1857,593,0,,963,116,361,,18,18,18,,"Traditional,",,,,,,,KS,2450,136.111111111,1079,59.944444444,KS@6475@D0435,200318001062,SY16-17,,155,0.405759162,,,,,,Cafeteria,,
6475,Abilene Middle,D0435,Abilene,,Dickinson,Abilene,67410,,,,,N,,,,,9/1/2016,9,2016,399,,130,43,,2315,714,0,,1102,118,348,,20,20,20,,"Traditional,",,,,,,,KS,3029,151.45,1220,61,KS@6475@D0435,200318001062,SY16-17,,173,0.433583960,,,,,,Cafeteria,,
