School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
Adair County Middle School,10121,1002,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728,322 GENERAL JOHN ADAIR DR,,,,Y,,,,,8/1/2016,8,2016,601,,562,0,,7711,0,536,,2519,0,175,,,15,15,,,,,,,,,KY,7711,514.066666667,2519,167.933333333,KY@1002@10121,210003001919,SY16-17,,562,0.935006669,,,,,,,,
Adair County High School,10121,1007,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728-1879,526 INDIAN DRIVE,,,,Y,,,,,8/1/2016,8,2016,780,,729,0,,8262,0,574,,2812,0,196,,,15,15,,,,,,,,,KY,8262,550.8,2812,187.466666667,KY@1007@10121,210003000001,SY16-17,,729,0.935038479,,,,,,,,
Adair County Elementary School,10121,1008,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,,,Y,,,,,8/1/2016,8,2016,606,,567,0,,7750,0,539,,4480,0,311,,,15,15,,,,,,,,,KY,7750,516.666666667,4480,298.666666667,KY@1008@10121,210003002021,SY16-17,,567,0.934974062,,,,,,,,
Adair County Primary Center,10121,1009,Adair County,KY,ADAIR COUNTY,Columbia,42728,158 Colonel Casey Drive,,,,Y,,,,,8/1/2016,8,2016,576,,539,0,,7233,0,503,,4328,0,301,,,15,15,,,,,,,,,KY,7233,482.2,4328,288.533333333,KY@1009@10121,210003002345,SY16-17,,539,0.934979317,,,,,,,,
Adair County Middle School,10121,1002,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728,322 GENERAL JOHN ADAIR DR,,,,Y,,,,,9/1/2016,9,2016,599,,560,0,,10697,0,744,,4225,0,294,,,21,21,,,,,,,,,KY,10697,509.380952381,4225,201.190476190,KY@1002@10121,210003001919,SY16-17,,560,0.934970719,,,,,,,,
Adair County High School,10121,1007,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728-1879,526 INDIAN DRIVE,,,,Y,,,,,9/1/2016,9,2016,780,,729,0,,11363,0,790,,4641,0,323,,,21,21,,,,,,,,,KY,11363,541.095238095,4641,221,KY@1007@10121,210003000001,SY16-17,,729,0.934995474,,,,,,,,
Adair County Elementary School,10121,1008,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,,,Y,,,,,9/1/2016,9,2016,683,,639,0,,11222,0,780,,6857,0,477,,,21,21,,,,,,,,,KY,11222,534.380952381,6857,326.523809524,KY@1008@10121,210003002021,SY16-17,,639,0.935010832,,,,,,,,
Adair County Primary Center,10121,1009,Adair County,KY,ADAIR COUNTY,Columbia,42728,158 Colonel Casey Drive,,,,Y,,,,,9/1/2016,9,2016,574,,537,0,,10098,0,702,,6382,0,444,,,21,21,,,,,,,,,KY,10098,480.857142857,6382,303.904761905,KY@1009@10121,210003002345,SY16-17,,537,0.935,,,,,,,,
Adair County Middle School,10121,1002,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728,322 GENERAL JOHN ADAIR DR,,,,Y,,,,,10/1/2016,10,2016,597,,558,0,,3129,0,217,,8136,0,566,,,16,16,,,,,,,,,KY,3129,195.5625,8136,508.5,KY@1002@10121,210003001919,SY16-17,,558,0.935146444,,,,,,,,
Adair County High School,10121,1007,Adair County,KY,ADAIR COUNTY,COLUMBIA,42728-1879,526 INDIAN DRIVE,,,,Y,,,,,10/1/2016,10,2016,780,,729,0,,3486,0,242,,8468,0,589,,,16,16,,,,,,,,,KY,3486,217.875,8468,529.25,KY@1007@10121,210003000001,SY16-17,,729,0.935085837,,,,,,,,
