Unique ID,School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,5/1/2018,5,2018,747,,727,0,,10533,0,297,,6744,0,190,,,18,18,,,,,,,,,KY,10533,585.166666667,6744,374.666666667,210003002021,SY17-18,,727,0.972576177,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,4/1/2018,4,2018,748,,728,0,,9519,0,268,,6068,0,171,,,16,16,,,,,,,,,KY,9519,594.9375,6068,379.25,210003002021,SY17-18,,728,0.972616736,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,3/1/2018,3,2018,739,,719,0,,11133,0,314,,6943,0,196,,,19,19,,,,,,,,,KY,11133,585.947368421,6943,365.421052632,210003002021,SY17-18,,719,0.972569232,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,2/1/2018,2,2018,740,,720,0,,11080,0,312,,7012,0,198,,,19,19,,,,,,,,,KY,11080,583.157894737,7012,369.052631579,210003002021,SY17-18,,720,0.972612360,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,1/1/2018,1,2018,738,,718,0,,9377,0,264,,5766,0,162,,,16,16,,,,,,,,,KY,9377,586.0625,5766,360.375,210003002021,SY17-18,,718,0.972616948,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,12/1/2017,12,2017,741,,721,0,,6494,0,183,,4060,0,114,,,11,11,,,,,,,,,KY,6494,590.363636364,4060,369.090909091,210003002021,SY17-18,,721,0.972592482,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,11/1/2017,11,2017,747,,727,0,,10607,0,299,,7002,0,197,,,18,18,,,,,,,,,KY,10607,589.277777778,7002,389,210003002021,SY17-18,,727,0.972583899,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,10/1/2017,10,2017,745,,725,0,,10215,0,288,,6335,0,178,,,17,17,,,,,,,,,KY,10215,600.882352941,6335,372.647058824,210003002021,SY17-18,,725,0.972579263,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,9/1/2017,9,2017,736,,716,0,,11757,0,331,,7502,0,211,,,20,20,,,,,,,,,KY,11757,587.85,7502,375.1,210003002021,SY17-18,,716,0.972617472,Primary,,,,,,,
KY@1008@10121,Adair County Elementary School,10121,1008,Adair County,,ADAIR COUNTY,COLUMBIA,42728-1813,870 INDIAN DR,,Primary,,Y,,N,,,8/1/2017,8,2017,668,,650,0,,8747,0,246,,5543,0,156,,,16,16,,,,,,,,,KY,8747,546.6875,5543,346.4375,210003002021,SY17-18,,650,0.972645391,Primary,,,,,,,
