School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,ISP,NCES ID,State-Physical,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,District ID,District Name,School ID,School Name,Claim Date,Enrollment-Free,Enrollment-Reduced,Enrollment-Total,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County
SY18-19,,607,0.972601279,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,5,2019,,,,5844,0,165,,,17,17,,,,,,,,,KY,9123,536.647058824,5844,343.764705882,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,5/1/2019,607,0,624,9123,0,257,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,602,0.972610039,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,4,2019,,,,5768,0,162,,,17,17,,,,,,,,,KY,9126,536.823529412,5768,339.294117647,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,4/1/2019,602,0,619,9126,0,257,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,599,0.972625649,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,3,2019,,,,7071,0,199,,,21,21,,,,,,,,,KY,11050,526.190476190,7071,336.714285714,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,3/1/2019,599,0,616,11050,0,311,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,601,0.972595140,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,2,2019,,,,5532,0,156,,,17,17,,,,,,,,,KY,8766,515.647058824,5532,325.411764706,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,2/1/2019,601,0,618,8766,0,247,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,605,0.972596483,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,1,2019,,,,5331,0,150,,,16,16,,,,,,,,,KY,8518,532.375,5331,333.1875,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,1/1/2019,605,0,622,8518,0,240,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,596,0.972627737,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,12,2018,,,,3994,0,113,,,12,12,,,,,,,,,KY,6396,533,3994,332.833333333,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,12/1/2018,596,0,613,6396,0,180,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,599,0.972592970,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,11,2018,,,,6241,0,176,,,18,18,,,,,,,,,KY,9546,530.333333333,6241,346.722222222,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,11/1/2018,599,0,616,9546,0,269,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,598,0.972623497,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,10,2018,,,,6177,0,174,,,18,18,,,,,,,,,KY,9628,534.888888889,6177,343.166666667,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,10/1/2018,598,0,615,9628,0,271,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,596,0.972601432,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,9,2018,,,,6614,0,186,,,19,19,,,,,,,,,KY,10188,536.210526316,6614,348.105263158,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,9/1/2018,596,0,613,10188,0,287,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
SY18-19,,602,0.972590914,Primary,,,,,,,,,210003002021,,Primary,,Y,,N,,,8,2018,,,,5811,0,164,,,17,17,,,,,,,,,KY,9013,530.176470588,5811,341.823529412,KY@1008@10121,10121,Adair County Board of Education,1008,Adair County Elementary School,8/1/2018,602,0,619,9013,0,254,870 INDIAN DR,,COLUMBIA,42728-1813,ADAIR COUNTY
