School ID,School Name,District ID,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,County
1131,Armstrong Middle School,347,Acadia Parish School Board,LA,Rayne,70578,700 Martin Luther King Dr,,[6-8],,Y,,,,,,,,368,,368,0,,53274,0,0,,44332,0,0,,,171,171,,,,,,,,,LA,53274,311.543859649,44332,259.251461988,LA@1131@347,,SY17-18,,368,1,Middle,,,,,,,,Acadia Parish
1132,Branch Elementary School,347,Acadia Parish School Board,LA,Branch,70516,PO Box 450,,[PK K 1-8],,Y,,,,,,,,317,,317,0,,42674,0,0,,10991,0,0,,,171,171,,,,,,,,,LA,42674,249.555555556,10991,64.274853801,LA@1132@347,,SY17-18,,317,1,Middle,,,,,,,,Acadia Parish
1133,Central Rayne Kindergarten School,347,Acadia Parish School Board,LA,Rayne,70578,507 N Polk St,,[PK K],,Y,,,,,,,,225,,225,0,,34849,0,0,,27808,0,0,,,171,171,,,,,,,,,LA,34849,203.795321637,27808,162.619883041,LA@1133@347,,SY17-18,,225,1,Primary,,,,,,,,Acadia Parish
1134,Church Point Elementary School,347,Acadia Parish School Board,LA,Church Point,70525,415 E Lougarre St,,[PK K 1-5],,Y,,,,,,,,610,,610,0,,94987,0,0,,61714,0,0,,,171,171,,,,,,,,,LA,94987,555.479532164,61714,360.900584795,LA@1134@347,,SY17-18,,610,1,Primary,,,,,,,,Acadia Parish
1135,Church Point High School,347,Acadia Parish School Board,LA,Church Point,70525,305 E Lougarre St,,[8-12],,Y,,,,,,,,532,,532,0,,40062,0,0,,24271,0,0,,,171,171,,,,,,,,,LA,40062,234.280701754,24271,141.935672515,LA@1135@347,,SY17-18,,532,1,High,,,,,,,,Acadia Parish
1136,Church Point Middle School,347,Acadia Parish School Board,LA,Church Point,70525,340 Martin Luther King Dr,,[6-8],,Y,,,,,,,,268,,268,0,,40066,0,0,,31533,0,0,,,171,171,,,,,,,,,LA,40066,234.304093567,31533,184.403508772,LA@1136@347,,SY17-18,,268,1,Middle,,,,,,,,Acadia Parish
1137,Crowley High School,347,Acadia Parish School Board,LA,Crowley,70526,263 Hensgens Rd,,[7-12],,Y,,,,,,,,655,,655,0,,68549,0,0,,31149,0,0,,,171,171,,,,,,,,,LA,68549,400.871345029,31149,182.157894737,LA@1137@347,,SY17-18,,655,1,Middle/High,,,,,,,,Acadia Parish
1138,Crowley Kindergarten School,347,Acadia Parish School Board,LA,Crowley,70526,1119 N Parkerson Ave,,[PK K],,Y,,,,,,,,273,,273,0,,38975,0,0,,28176,0,0,,,171,171,,,,,,,,,LA,38975,227.923976608,28176,164.771929825,LA@1138@347,,SY17-18,,273,1,Primary,,,,,,,,Acadia Parish
1139,Crowley Middle School,347,Acadia Parish School Board,LA,Crowley,70526,401 W Northern Ave,,[6-8],,Y,,,,,,,,489,,489,0,,73003,0,0,,43732,0,0,,,171,171,,,,,,,,,LA,73003,426.918128655,43732,255.742690058,LA@1139@347,,SY17-18,,489,1,Middle,,,,,,,,Acadia Parish
1140,Egan Elementary School,347,Acadia Parish School Board,LA,Egan,70531,PO Box 219,,[PK K 1-8],,Y,,,,,,,,220,,220,0,,30708,0,0,,11839,0,0,,,171,170,,,,,,,,,LA,30708,180.635294118,11839,69.233918129,LA@1140@347,,SY17-18,,220,1,Middle,,,,,,,,Acadia Parish
