Unique ID,School ID,District ID,School Name,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
ME@3@2,3,2,Acton Elementary School,Acton Public Schools,ME,York,Acton,04001,700 Milton Mills Road Acton,,PR-8,Public,,,,,,1/1/2018,1,2018,247,,88,13,,1318,190,951,,969,106,376,,,19,19,,,,,,,,,ME,1508,79.368421053,1075,56.578947368,230222000001,SY17-18,,101,,Primary/Middle,Public,,,,,,
ME@1039@1038,1039,1038,Airline Community School,Airline CSD,ME,Hancock,Aurora,04408,26 Great Pond Road Aurora,,PR-8,Public,,,,,,1/1/2018,1,2018,36,,9,10,,149,158,96,,119,153,98,,,18,19,,,,,,,,,ME,307,16.157894737,272,15.111111111,230250000007,SY17-18,,19,,Primary/Middle,Public,,,,,,
ME@5@4,5,4,Alexander Elementary,Alexander Public Schools,ME,Washington,Alexander,04694,1430 Airline Road Alexander,,PR-8,Public,,,,,,1/1/2018,1,2018,43,,14,7,,217,120,203,,183,103,121,,,16,18,,,,,,,,,ME,337,18.722222222,286,17.875,230228000975,SY17-18,,21,,Primary/Middle,Public,,,,,,
ME@790@1734,790,1734,Andover Elementary School,Andover Public Schools,ME,Oxford,Andover,04216,PO Box 70 Andover,,PR-5,Public,,,,,,1/1/2018,1,2018,21,,9,2,,152,0,140,,123,0,100,,,18,18,,,,,,,,,ME,152,8.444444444,123,6.833333333,231482300505,SY17-18,,11,,Primary,Public,,,,,,
ME@10@9,10,9,Appleton Village School,Appleton Public Schools,ME,Knox,Appleton,04862,737 Union Road Appleton,,KG-8,Public,,,,,,1/1/2018,1,2018,136,,34,11,,382,88,847,,,,,,,18,19,,,,,,,,,ME,470,24.736842105,,,230251000906,SY17-18,,45,,Primary/Middle,Public,,,,,,
ME@1070@1069,1070,1069,Arthur R. Gould Sch--LCYDC,Arthur R. Gould Sch--LCYDC,ME,Cumberland,Portland,04106,675 Westbrook Street South Portland,,7-12,Public,,,,,,1/1/2018,1,2018,88,,88,0,,2078,0,0,,2063,0,0,,,31,31,,,,,,,,,ME,2078,67.032258065,2063,66.548387097,230005000377,SY17-18,,88,,Middle/High,Public,,,,,,
ME@906@1629,906,1629,Athens Community School,Athens Public Schools,ME,Somerset,Athens,04912,8 Fox Hill Road Athens,,PR-8,Public,,,,,,1/1/2018,1,2018,132,,66,16,,926,142,475,,388,43,40,,,19,19,,,,,,,,,ME,1068,56.210526316,431,22.684210526,231481700742,SY17-18,,82,,Primary/Middle,Public,,,,,,
ME@25@14,25,14,Auburn Middle School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,38 Falcon Drive Auburn,,7-8,Public,,,,,,1/1/2018,1,2018,509,,204,27,,2534,261,2163,,914,117,1031,,,17,17,,,,,,,,,ME,2795,164.411764706,1031,60.647058824,230261000907,SY17-18,,231,,Middle,Public,,,,,,
ME@15@14,15,14,East Auburn Community School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,15 Andrew Drive Auburn,,PR-6,Public,,,,,,1/1/2018,1,2018,189,,63,11,,594,49,584,,271,11,264,,,17,17,,,,,,,,,ME,643,37.823529412,282,16.588235294,230261000012,SY17-18,,74,,Primary,Public,,,,,,
ME@23@14,23,14,Edward Little High School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,77 Harris Street Auburn,,9-12,Public,,,,,,1/1/2018,1,2018,1060,,409,35,,3831,363,1845,,1674,87,826,,,17,17,,,,,,,,,ME,4194,246.705882353,1761,103.588235294,230261000013,SY17-18,,444,,High,Public,,,,,,
ME@16@14,16,14,Fairview School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,397 Minot Avenue Auburn,,PR-6,Public,,,,,,1/1/2018,1,2018,568,,132,28,,1293,277,2445,,703,146,860,,,17,17,,,,,,,,,ME,1570,92.352941176,849,49.941176471,230261000014,SY17-18,,160,,Primary,Public,,,,,,
ME@27@14,27,14,Park Avenue Elementary School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,161 Park Avenue Auburn,,PR-6,Public,Y,,,,,1/1/2018,1,2018,389,,272,0,,3899,0,602,,2049,0,316,,,17,17,,,,,,,,,ME,3899,229.352941176,2049,120.529411765,230261000626,SY17-18,,272,0.866251944,Primary,Public,,,,,,
ME@24@14,24,14,Sherwood Heights Elementary Sch,Auburn Public Schools,ME,Androscoggin,Auburn,04210,32 Sherwood Drive Auburn,,PR-6,Public,Y,,,,,1/1/2018,1,2018,424,,296,0,,3943,0,609,,1615,0,250,,,17,17,,,,,,,,,ME,3943,231.941176471,1615,95,230261000018,SY17-18,,296,0.866212654,Primary,Public,,,,,,
ME@21@14,21,14,Walton School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,92 Mary Carroll Street Auburn,,PR-6,Public,Y,,,,,1/1/2018,1,2018,250,,214,0,,2473,0,382,,1485,0,229,,,17,17,,,,,,,,,ME,2473,145.470588235,1485,87.352941176,230261000020,SY17-18,,214,0.866199650,Primary,Public,,,,,,
ME@19@14,19,14,Washburn School,Auburn Public Schools,ME,Androscoggin,Auburn,04210,35 Lake Auburn Avenue Auburn,,PR-6,Public,Y,,,,,1/1/2018,1,2018,265,,241,0,,2347,0,362,,1420,0,220,,,17,17,,,,,,,,,ME,2347,138.058823529,1420,83.529411765,230261000021,SY17-18,,241,0.866371355,Primary,Public,,,,,,
