State-Physical,School Name,School ID,District Name,District ID,County,Claim Date,Unique ID,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Street Address-Line 1,City,Zip Code,ISP
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@256@250,,PK-6,Public,Y,,,,,12,2018,705,,699,0,,,,,,,,,,,,,ME,7596,506.4,4473,298.2,230732000196,SY18-19,,699,0.991515468,Primary,Public,,,,,,,7596,0,65,15,4473,0,38,15,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@260@250,,PK-6,Public,Y,,,,,12,2018,677,,671,0,,,,,,,,,,,,,ME,7964,530.933333333,4333,288.866666667,,SY18-19,,671,0.991533865,Primary,Public,,,,,,,7964,0,68,15,4333,0,37,15,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@254@250,,PK-6,Public,Y,,,,,12,2018,713,,707,0,,,,,,,,,,,,,ME,9159,610.6,6761,450.733333333,230732000193,SY18-19,,707,0.991448365,Primary,Public,,,,,,,9159,0,79,15,6761,0,58,15,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,12/1/2018,ME@SD403@250,,,,Y,,,,,12,2018,285,,283,0,,,,,,,,,,,,,ME,3401,226.733333333,1896,126.4,230732000192,SY18-19,,283,0.991545190,,,,,,,,,3401,0,29,15,1896,0,16,15,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@257@250,,7-8,Public,Y,,,,,12,2018,773,,766,0,,,,,,,,,,,,,ME,8897,593.133333333,3229,215.266666667,230732000191,SY18-19,,766,0.991530146,Middle,Public,,,,,,,8897,0,76,15,3229,0,28,15,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@255@250,,9-12,Public,Y,,,,,12,2018,1466,,1454,0,,,,,,,,,,,,,ME,14317,954.466666667,5988,399.2,230732000190,SY18-19,,1454,0.991481994,High,Public,,,,,,,14317,0,123,15,5988,0,51,15,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,12/1/2018,ME@SD405@250,,,,Y,,,,,12,2018,380,,377,0,,,,,,,,,,,,,ME,5145,343,4199,279.933333333,230732000194,SY18-19,,377,0.991520524,,,,,,,,,5145,0,44,15,4199,0,36,15,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@251@250,,PK-6,Public,Y,,,,,12,2018,444,,440,0,,,,,,,,,,,,,ME,5383,358.866666667,3040,202.666666667,230732000187,SY18-19,,440,0.991526985,Primary,Public,,,,,,,5383,0,46,15,3040,0,26,15,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@256@250,,PK-6,Public,Y,,,,,11,2018,705,,699,0,,,,,,,,,,,,,ME,7587,505.8,5249,349.933333333,230732000196,SY18-19,,699,0.991505489,Primary,Public,,,,,,,7587,0,65,15,5249,0,45,15,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@260@250,,PK-6,Public,Y,,,,,11,2018,677,,671,0,,,,,,,,,,,,,ME,8125,541.666666667,5292,352.8,,SY18-19,,671,0.991458206,Primary,Public,,,,,,,8125,0,70,15,5292,0,45,15,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@254@250,,PK-6,Public,Y,,,,,11,2018,713,,707,0,,,,,,,,,,,,,ME,8916,594.4,7451,496.733333333,230732000193,SY18-19,,707,0.991548043,Primary,Public,,,,,,,8916,0,76,15,7451,0,64,15,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,11/1/2018,ME@SD403@250,,,,Y,,,,,11,2018,285,,283,0,,,,,,,,,,,,,ME,3490,232.666666667,2138,142.533333333,230732000192,SY18-19,,283,0.991477273,,,,,,,,,3490,0,30,15,2138,0,18,15,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@257@250,,7-8,Public,Y,,,,,11,2018,773,,766,0,,,,,,,,,,,,,ME,9042,602.8,3940,262.666666667,230732000191,SY18-19,,766,0.991447368,Middle,Public,,,,,,,9042,0,78,15,3940,0,34,15,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@255@250,,9-12,Public,Y,,,,,11,2018,1466,,1454,0,,,,,,,,,,,,,ME,14664,977.6,6930,462,230732000190,SY18-19,,1454,0.991480730,High,Public,,,,,,,14664,0,126,15,6930,0,59,15,156 East Avenue,Lewiston,4240,0.441955193
