BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,School Year,Claim Date,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Universal Free (Y/N),Provision 3 (Y/N),Provision 1 (Y/N),School Type-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,CEP (Y/N),State-Physical,District ID,District Name,School ID,School Name,School Level-Original,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Operating Days-Breakfast Only,Provision 2 (Y/N),NCES ID
,,,,,,,Middle,0.3,15,,SY13-14,12/1/2013,MT@1775@48-0861,4.6,69,9.333333333,140,MT,,,,,,,,,,,,,,2013,12,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,50,11,4,67,2,51,124,16,287,15,15,N,
,,,,,,,Middle,0.28,14,,SY13-14,11/1/2013,MT@1775@48-0861,4.111111111,74,8.055555556,145,MT,,,,,,,,,,,,,,2013,11,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,50,11,3,72,2,58,134,11,333,18,18,N,
,,,,,,,Middle,0.224489796,11,,SY13-14,10/1/2013,MT@1775@48-0861,3.714285714,78,7.904761905,166,MT,,,,,,,,,,,,,,2013,10,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,49,9,2,76,2,100,152,14,454,21,21,N,
,,,,,,,Middle,0.255319149,12,,SY13-14,9/1/2013,MT@1775@48-0861,4.357142857,122,10.25,287,MT,,,,,,,,,,,,,,2013,9,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,47,9,3,108,14,106,221,66,530,28,28,N,
,,,,,,,Middle,0.25,9,,SY12-13,5/1/2013,MT@1775@48-0861,3.375,54,5.125,82,MT,,,,,,,,,,,,,,2013,5,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,36,8,1,54,0,47,77,5,240,16,16,N,
,,,,,,,Middle,0.25,9,,SY12-13,4/1/2013,MT@1775@48-0861,3.428571429,72,5.666666667,119,MT,,,,,,,,,,,,,,2013,4,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,36,8,1,72,0,75,107,12,321,21,21,N,
,,,,,,,Middle,0.25,9,,SY12-13,3/1/2013,MT@1775@48-0861,3,54,5.166666667,93,MT,,,,,,,,,,,,,,2013,3,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,36,8,1,54,0,67,81,12,338,18,18,N,
,,,,,,,Middle,0.171428571,6,,SY12-13,2/1/2013,MT@1775@48-0861,3.473684211,66,3.526315789,67,MT,,,,,,,,,,,,,,2013,2,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,35,5,1,66,0,74,61,6,318,19,19,N,
,,,,,,,Middle,0.171428571,6,,SY12-13,1/1/2013,MT@1775@48-0861,3.6,72,4.15,83,MT,,,,,,,,,,,,,,2013,1,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,35,5,1,72,0,90,73,10,370,20,20,N,
,,,,,,,Middle,0.171428571,6,,SY12-13,12/1/2012,MT@1775@48-0861,3.866666667,58,4.2,63,MT,,,,,,,,,,,,,,2012,12,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,35,5,1,58,0,67,54,9,306,15,15,N,
,,,,,,,Middle,0.171428571,6,,SY12-13,11/1/2012,MT@1775@48-0861,4.5,81,4.277777778,77,MT,,,,,,,,,,,,,,2012,11,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,35,5,1,81,0,77,67,10,349,18,18,N,
,,,,,,,Middle,0.171428571,6,,SY12-13,10/1/2012,MT@1775@48-0861,3.047619048,64,4.380952381,92,MT,,,,,,,,,,,,,,2012,10,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,35,5,1,64,0,141,76,16,411,21,21,N,
,,,,,,,Middle,0.189189189,7,,SY12-13,9/1/2012,MT@1775@48-0861,1.555555556,42,4.259259259,115,MT,,,,,,,,,,,,,,2012,9,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,37,6,1,42,0,84,91,24,418,27,27,N,
,,,,,,,Middle,0.4,16,,SY11-12,5/1/2012,MT@1775@48-0861,0.333333333,6,8.722222222,157,MT,,,,,,,,,,,,,,2012,5,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,40,13,3,6,0,8,128,29,187,18,18,N,
,,,,,,,Middle,0.4,16,,SY11-12,4/1/2012,MT@1775@48-0861,0.777777778,14,9.611111111,173,MT,,,,,,,,,,,,,,2012,4,,,,,,,,,,N,,0861,Absarokee Elementary,1775,Absarokee 6-8,Middle,40,13,3,14,0,15,134,39,207,18,18,N,
