Lunch Meals-Reduced,Lunch Meals-Free,Enrollment-Reduced,Enrollment-Free,Breakfast Meals-Reduced,Breakfast Meals-Free,Enrollment-Paid,Breakfast Meals-Free and Reduced,State-Physical,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Breakfast Meals-Paid,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School ID,School Name,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County,School Type-Original,School Level-Original,Claim Date,Enrollment-Total,Enrollment-Free and Reduced,Operating Days-Lunch Only,Lunch Meals-Free and Reduced,Lunch Meals-Paid,ISP
,,,,,,,52,MT,N,,N,,,5,2019,67,,16,,Grab And Go,,,,,,,MT,73,4.5625,52,3.25,MT@1775@0861,300171001063,SY18-19,,14,0.222222222,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,5/1/2019,63,14,16,73,230,
,,,,,,,69,MT,N,,N,,,4,2019,95,,20,,Grab And Go,,,,,,,MT,108,5.4,69,3.45,MT@1775@0861,300171001063,SY18-19,,14,0.222222222,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,4/1/2019,63,14,20,108,342,
,,,,,,,61,MT,N,,N,,,3,2019,73,,20,,Grab And Go,,,,,,,MT,113,5.65,61,3.05,MT@1775@0861,300171001063,SY18-19,,15,0.238095238,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,3/1/2019,63,15,20,113,300,
,,,,,,,57,MT,N,,N,,,2,2019,70,,18,,Grab And Go,,,,,,,MT,129,7.166666667,57,3.166666667,MT@1775@0861,300171001063,SY18-19,,15,0.238095238,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,2/1/2019,63,15,18,129,286,
,,,,,,,71,MT,N,,N,,,1,2019,120,,21,,Grab And Go,,,,,,,MT,166,7.904761905,71,3.380952381,MT@1775@0861,300171001063,SY18-19,,15,0.234375,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,1/1/2019,64,15,21,166,393,
,,,,,,,50,MT,N,,N,,,12,2018,90,,15,,Grab And Go,,,,,,,MT,125,8.333333333,50,3.333333333,MT@1775@0861,300171001063,SY18-19,,14,0.222222222,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,12/1/2018,63,14,15,125,294,
,,,,,,,70,MT,N,,N,,,11,2018,117,,19,,Grab And Go,,,,,,,MT,126,6.631578947,70,3.684210526,MT@1775@0861,300171001063,SY18-19,,13,0.206349206,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,11/1/2018,63,13,19,126,361,
,,,,,,,78,MT,N,,N,,,10,2018,129,,20,,Grab And Go,,,,,,,MT,120,6,78,3.9,MT@1775@0861,300171001063,SY18-19,,15,0.238095238,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,10/1/2018,63,15,20,120,400,
,,,,,,,59,MT,N,,N,,,9,2018,99,,19,,Grab And Go,,,,,,,MT,143,7.526315789,59,3.105263158,MT@1775@0861,300171001063,SY18-19,,15,0.241935484,Middle,Public,,,,GNG,,,0861,Absarokee Public Schools,1775,Absarokee 6-8,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Middle,9/1/2018,62,15,19,143,384,
,,,,,,,47,MT,N,,N,,,5,2019,30,,16,,Grab And Go,,,,,,,MT,23,1.4375,47,2.9375,MT@1126@0861,,SY18-19,,13,0.151162791,High,Public,,,,GNG,,,0861,Absarokee Public Schools,1126,Absarokee High School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,High,5/1/2019,86,13,16,23,174,
