Enrollment-Paid,Provision 2 (Y/N),BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Type-Original,School Level-Standardized,FR Enrollment Percentage,Enrollment-Reduced,Enrollment-Free,FR Enrollment,Target Area,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,State-Physical,Claim Year,School Year,State-Reporting,Enrollment-Free and Reduced,ISP,District ID,District Name,School ID,School Name,County,Claim Month,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,CEP (Y/N),NCES ID
,,,,,,,,,,,,,,,,NE@0001@000001,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000001,ESU #1,0001,Tower,Wayne,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000001,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000001,ESU #1,0001,Tower,Wayne,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000001,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000001,ESU #1,0001,Tower,Wayne,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000001,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000001,ESU #1,0001,Tower,Wayne,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000001,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000001,ESU #1,0001,Tower,Wayne,5,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,32.8,,NE@0001@000001,,,20.526315789,390,,,,,,,,,,390,9/1/2017,,,,,,,,,,2017,SY17-18,NE,32.8,,000001,ESU #1,0001,Tower,Wayne,9,,,,240,150,86,18.5,19,,41,,
,,,,,,,,,,,,,,24.82,,NE@0001@000001,,,16.5,330,,,,,,,,,,330,10/1/2017,,,,,,,,,,2017,SY17-18,NE,24.82,,000001,ESU #1,0001,Tower,Wayne,10,,,,221,109,130,18.5,20,,34,,
,,,,,,,,,,,,,,25.9,,NE@0001@000001,,,17.368421053,330,,,,,,,,,,330,11/1/2017,,,,,,,,,,2017,SY17-18,NE,25.9,,000001,ESU #1,0001,Tower,Wayne,11,,,,231,99,124,18.5,19,,35,,
,,,,,,,,,,,,,,27,,NE@0001@000001,,,19.4375,311,,,,,,,,,,311,12/1/2017,,,,,,,,,,2017,SY17-18,NE,27,,000001,ESU #1,0001,Tower,Wayne,12,,,,225,86,109,18.5,16,,36,,
,,,,,,,,,,,,,,,,NE@0001@000002,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000002,ESU #2,0001,ESU #2,Dodge,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000002,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000002,ESU #2,0001,ESU #2,Dodge,2,,,,,,,18.5,18.5,,,,
