Provision 2 (Y/N),Claim Date,ISP,School Level-Original,Enrollment-Total,Enrollment-Free and Reduced,Enrollment-Free,Enrollment-Reduced,School Year,Claim Year,Unique ID,School ID,District ID,State-Physical,Street Address-Line 1,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,School Name,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,CEP (Y/N),Claim Month,Operating Days-Lunch Only
,7/1/2013,,,,,,,SY13-14,2013,NV@1222@1093,1222,1093,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,ALL SAINTS DAY SCHOOL,All Saints Day School,,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@1226@1097,1226,1097,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,BOARD OF REGENTS/TMCC/E.L. CORD,Board of Regents /TMCC/E.L. Cord,,,Washoe,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@1228@1099,1228,1099,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,BOARD OF REGENTS/UNLV/CSUN PRESCHOOL (GRANT/CT),"Board of Regents/UNLV,Grants&Contracts",,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@1229@1100,1229,1100,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,BOARD OF REGENTS/WNC FAMILY SVCS,Board of Regents/WNC Family Svcs,,,Carson City,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@1713@1065,1713,1065,,,,,,,,,,3441,0,0,,,31,,,,,,,,,NV,3442,111.032258065,3441,111,,,,,,,,,,,,,CALIENTE YOUTH TRAINING CENTER,Caliente Youth Center,,,Lincoln,3442,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1716@1071,1716,1071,,,,,,,,,,1481,0,0,,,31,,,,,,,,,NV,1452,46.838709677,1481,47.774193548,,,,,,,,,,,,,CHINA SPRING YOUTH CAMP,China Spring Youth Camp,,,Douglas,1452,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1837@1072,1837,1072,,,,,,,,,,3353,0,0,,,31,,,,,,,,,NV,3738,120.580645161,3353,108.161290323,,,,,,,,,,,,,CLARK COUNTY JUVENILE JUSTICE SERVICES,Detention,,,Clark,3738,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1839@1072,1839,1072,,,,,,,,,,298,0,0,,,31,,,,,,,,,NV,332,10.709677419,298,9.612903226,,,,,,,,,,,,,CLARK COUNTY JUVENILE JUSTICE SERVICES,Spring Mountain Res. Center,,,Clark,332,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1838@1072,1838,1072,,,,,,,,,,2180,0,0,,,31,,,,,,,,,NV,2724,87.870967742,2180,70.322580645,,,,,,,,,,,,,CLARK COUNTY JUVENILE JUSTICE SERVICES,Spring Mountain Youth Camp,,,Clark,2724,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@3211@1118,3211,1118,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,CLARK COUNTY PARKS & RECREATION - SAFEKEY,Forbuss Elementary School,,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@86@1118,86,1118,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,CLARK COUNTY PARKS & RECREATION - SAFEKEY,"Reedom,Carolyn Elementary School",,,Clark,0,0,0,N,7,0
