Unique ID,School ID,District ID,State-Reporting,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Claim Date
NV@SD266@GD379,SD266,GD379,NV,,Board of Regents /TMCC/E.L. Cord,BOARD OF REGENTS/TMCC/E.L. CORD,,,,,,,,,,,,,4,2017,,,,,,,0,0,0,,,0,,,,,,,,,0,,0,,,SY16-17,,,,,,,,,,,,0,0,0,0,4/1/2017
NV@SD267@GD380,SD267,GD380,NV,,"Board of Regents/UNLV,Grants&Contracts",BOARD OF REGENTS/UNLV/CSUN PRESCHOOL (GRANT/CT),,,,,,,,,,,,,4,2017,,,,,,,0,0,0,,,0,,,,,,,,,0,,0,,,SY16-17,,,,,,,,,,,,0,0,0,0,4/1/2017
NV@SD268@GD381,SD268,GD381,NV,,Board of Regents/WNC Family Svcs,BOARD OF REGENTS/WNC FAMILY SVCS,,,,,,,,,,,,,4,2017,,,,,,,0,0,0,,,0,,,,,,,,,0,,0,,,SY16-17,,,,,,,,,,,,0,0,0,0,4/1/2017
NV@SD269@GD382,SD269,GD382,NV,,Caliente Youth Center,CALIENTE YOUTH TRAINING CENTER,,,,,,,,,,,,,4,2017,,,,,,,3536,0,0,,,30,,,,,,,,,3439,114.633333333,3536,117.866666667,,SY16-17,,,,,,,,,,,,30,3439,0,0,4/1/2017
NV@013-201@013,013-201,013,NV,Carson,Bordewich Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,K-5,,N,,N,,,4,2017,605,,275,41,316,,1687,195,237,,,18,,,,,,,,,4753,264.055555556,1882,104.555555556,320039000288,SY16-17,,316,0.522314050,Primary,,,,,,,,18,4306,447,1201,4/1/2017
NV@013-501@013,013-501,013,NV,Carson,Carson High School,CARSON CITY SCHOOL DISTRICT,,,,,,9-12,,N,,N,,,4,2017,2206,,663,124,787,,3791,359,435,,,18,,,,,,,,,6141,341.166666667,4150,230.555555556,320039000280,SY16-17,,787,0.356754306,High,,,,,,,,18,5396,745,2016,4/1/2017
NV@013-301@013,013-301,013,NV,Carson,Carson Middle School,CARSON CITY SCHOOL DISTRICT,,,,,,6-8,,N,,N,,,4,2017,1088,,410,80,490,,1730,208,341,,,18,,,,,,,,,5839,324.388888889,1938,107.666666667,320039000281,SY16-17,,490,0.450367647,Middle,,,,,,,,18,5003,836,1520,4/1/2017
NV@013-302@013,013-302,013,NV,Carson,Eagle Valley Middle School,CARSON CITY SCHOOL DISTRICT,,,,,,6-8,,N,,N,,,4,2017,676,,260,52,312,,1167,99,239,,,18,,,,,,,,,4230,235,1266,70.333333333,320039000315,SY16-17,,312,0.461538462,Middle,,,,,,,,18,3682,548,1713,4/1/2017
NV@013-209@013,013-209,013,NV,Carson,Empire Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,PK-5,,N,,Y,,,4,2017,656,,,,530,,7331,242,483,,,18,,,,,,,,,7341,407.833333333,7573,420.722222222,320039000364,SY16-17,,530,0.807926829,Primary,,,,,,,,18,6590,751,1001,4/1/2017
NV@013-204@013,013-204,013,NV,Carson,Fremont Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,K-5,,N,,N,,,4,2017,522,,253,53,306,,1285,334,254,,,18,,,,,,,,,4767,264.833333333,1619,89.944444444,320039000285,SY16-17,,306,0.586206897,Primary,,,,,,,,18,3979,788,1256,4/1/2017
