Unique ID,School ID,District ID,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Enrollment-Total,Claim Date,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid
NV@SD266@GD379,SD266,GD379,,Board of Regents /TMCC/E.L. Cord,BOARD OF REGENTS/TMCC/E.L. CORD,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD267@GD380,SD267,GD380,,"Board of Regents/UNLV,Grants&Contracts",BOARD OF REGENTS/UNLV/CSUN PRESCHOOL (GRANT/CT),,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD268@GD381,SD268,GD381,,Board of Regents/WNC Family Svcs,BOARD OF REGENTS/WNC FAMILY SVCS,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD269@GD382,SD269,GD382,,Caliente Youth Center,CALIENTE YOUTH TRAINING CENTER,,,,,,,,,,,,8,2017,,,3503,0,0,,,31,,,,,,,,,NV,3371,108.741935484,3503,113,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,31,3371,0,0
NV@013-201@013,013-201,013,Carson,Bordewich Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,431,57,93,,,9,,,,,,,,,NV,1638,182,488,54.222222222,320039000288,SY17-18,,311,0.496805112,Primary,,,,,,,,PK-5,250,61,311,626,8/1/2017,9,1452,186,434
NV@013-501@013,013-501,013,Carson,Carson High School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,1067,95,140,,,9,,,,,,,,,NV,2957,328.555555556,1162,129.111111111,320039000280,SY17-18,,767,0.339230429,High,,,,,,,,9-12,652,115,767,2261,8/1/2017,9,2654,303,1045
NV@013-301@013,013-301,013,Carson,Carson Middle School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,605,57,171,,,9,,,,,,,,,NV,2345,260.555555556,662,73.555555556,320039000281,SY17-18,,519,0.436501262,Middle,,,,,,,,6-8,436,83,519,1189,8/1/2017,9,2083,262,821
NV@013-302@013,013-302,013,Carson,Eagle Valley Middle School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,456,40,87,,,9,,,,,,,,,NV,2057,228.555555556,496,55.111111111,320039000315,SY17-18,,317,0.484709480,Middle,,,,,,,,6-8,255,62,317,654,8/1/2017,9,1785,272,918
NV@013-209@013,013-209,013,Carson,Empire Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,Y,,,8,2017,,,3559,117,235,,,9,,,,,,,,,NV,3347,371.888888889,3676,408.444444444,320039000364,SY17-18,,460,0.808435852,Primary,,,,,,,,PK-5,,,460,569,8/1/2017,9,3005,342,457
NV@013-204@013,013-204,013,Carson,Fremont Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,433,73,65,,,9,,,,,,,,,NV,1931,214.555555556,506,56.222222222,320039000285,SY17-18,,339,0.585492228,Primary,,,,,,,,PK-5,274,65,339,579,8/1/2017,9,1649,282,462
NV@013-203@013,013-203,013,Carson,Fritsch Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,280,14,11,,,9,,,,,,,,,NV,1118,124.222222222,294,32.666666667,320039000286,SY17-18,,202,0.378277154,Primary,,,,,,,,K-5,176,26,202,534,8/1/2017,9,993,125,379
NV@013-903@013,013-903,013,Carson,Pioneer High School,CARSON CITY SCHOOL DISTRICT,,,,,,,Y,,N,,,8,2017,,,204,0,63,,,9,,,,,,,,,NV,507,56.333333333,204,22.666666667,320039000480,SY17-18,,125,0.763554217,High,,,,,,,,9-12,,,125,164,8/1/2017,9,507,0,157
NV@013-207@013,013-207,013,Carson,Seeliger Elementary School,CARSON CITY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,310,28,64,,,9,,,,,,,,,NV,1275,141.666666667,338,37.555555556,320039000282,SY17-18,,237,0.384116694,Primary,,,,,,,,K-5,191,46,237,617,8/1/2017,9,1046,229,514
NV@013-211@013,013-211,013,Carson,"Twain, Mark Elementary School",CARSON CITY SCHOOL DISTRICT,,,,,,,N,,Y,,,8,2017,,,2384,397,1192,,,9,,,,,,,,,NV,2880,320,2781,309,320039000160,SY17-18,,456,0.704791345,Primary,,,,,,,,PK-5,,,456,647,8/1/2017,9,2463,417,909
NV@SD270@GD383,SD270,GD383,,China Spring Youth Camp,CHINA SPRING YOUTH CAMP,,,,,,,,,,,,8,2017,,,1265,0,0,,,31,,,,,,,,,NV,1141,36.806451613,1265,40.806451613,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,31,1141,0,0
NV@001-401@001,001-401,001,Churchill,Churchill County High School,CHURCHILL COUNTY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,787,182,53,,,14,,,,,,,,,NV,1652,118,969,69.214285714,320003000001,SY17-18,,372,0.369047619,High,,,,,,,,9-12,330,42,372,1008,8/1/2017,14,1352,300,343
NV@001-301@001,001-301,001,Churchill,Churchill County Middle School,CHURCHILL COUNTY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,782,77,77,,,14,,,,,,,,,NV,2197,156.928571429,859,61.357142857,320003000003,SY17-18,,366,0.529667149,Middle,,,,,,,,6-8,316,50,366,691,8/1/2017,14,1839,358,484
NV@001-205@001,001-205,001,Churchill,E.C. Best Elementary School,CHURCHILL COUNTY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,1086,261,499,,,14,,,,,,,,,NV,2498,178.428571429,1347,96.214285714,320003000004,SY17-18,,274,0.562628337,Primary,,,,,,,,2-3,231,43,274,487,8/1/2017,14,2135,363,595
NV@001-206@001,001-206,001,Churchill,Lahontan Elementary School,CHURCHILL COUNTY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,1405,307,1051,,,14,,,,,,,,,NV,2304,164.571428571,1712,122.285714286,320003000021,SY17-18,,281,0.554240631,Primary,,,,,,,,K-1,230,51,281,507,8/1/2017,14,1838,466,867
NV@001-202@001,001-202,001,Churchill,Northside Elementary School,CHURCHILL COUNTY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,232,81,894,,,9,,,,,,,,,NV,181,20.111111111,313,34.777777778,320003000005,SY17-18,,97,0.497435897,Primary,,,,,,,,PK-K,81,16,97,195,8/1/2017,9,162,19,235
NV@001-207@001,001-207,001,Churchill,Numa Elementary School,CHURCHILL COUNTY SCHOOL DISTRICT,,,,,,,N,,N,,,8,2017,,,1250,341,696,,,14,,,,,,,,,NV,2796,199.714285714,1591,113.642857143,320003000431,SY17-18,,264,0.531187123,Primary,,,,,,,,4-5,221,43,264,497,8/1/2017,14,2188,608,627
NV@SD271@GD384,SD271,GD384,,"Bartlett, Selma Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD272@GD384,SD272,GD384,,"Cox, David Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD275@GD384,SD275,GD384,,"Greenspun, Hank Middle School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD277@GD384,SD277,GD384,,"Lamping, Frank Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
