Claim Year,Claim Month,NCES ID,ISP,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,CEP (Y/N),Enrollment-Free and Reduced,Operating Days-Lunch Only,Operating Days-Breakfast Only,School Name,School ID,District ID,State-Reporting,School Year,Claim Date,District Name,Enrollment-Paid,Provision 2 (Y/N),BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Type-Original,School Level-Standardized,FR Enrollment Percentage,Enrollment-Reduced,Enrollment-Free,FR Enrollment,Target Area,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Universal Free (Y/N),Provision 3 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,State-Physical,Street Address-Line 1,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
2017,9,,,,,,,18.5,18.5,,,0017,NH,SY17-18,9/1/2017,Sanborn Regional SAU Office,,,,,,,,,,,,,,,,,NH@000@0017,31.945945946,591,171.135135135,3166,,,,,,,,18.5,,,,,,,,,17 Danville Road,Kingston,3848,Rockingham,2626,540,8494,489,102,266
2017,9,,,,,,,18.5,18.5,,,0057,NH,SY17-18,9/1/2017,Salem SAU Office,,,,,,,,,,,,,,,,,NH@000@0057,135.459459459,2506,308.486486486,5707,,,,,,,,18.5,,,,,,,,,38 Geremonty Drive,Salem,3079,Rockingham,4575,1132,16292,2225,281,1951
2018,6,,,,,,,18.5,18.5,,,0301,NH,SY17-18,6/1/2018,Prospect Mountain JMA,,,,,,,,,,,,,,,,,NH@000@0301,30.918918919,572,47.081081081,871,,,,,,,,18.5,,,,,,,,,242 Suncook Valley Road,Alton,3809,Belknap,695,176,1663,493,79,647
2018,5,,,,,,,18.5,18.5,,,0044,NH,SY17-18,5/1/2018,Northwood SAU Office,,,,,,,,,,,,,,,,,NH@000@0044,60.594594595,1121,146.810810811,2716,,,,,,,,18.5,,,,,,,,,23A Mountain Avenue,Northwood,3261,Rockingham,2190,526,8514,1022,99,1667
2018,4,,,,,,,18.5,18.5,,,0583,NH,SY17-18,4/1/2018,Nashua Childrens Home,,,,,,,,,,,,,,,,,NH@000@0583,55.567567568,1028,41.729729730,772,,,,,,,,18.5,,,,,,,,,125 Amherst Street,Nashua,3064,Hillsborough,772,0,37,1028,0,0
2018,3,,,,,,,18.5,18.5,,,0090,NH,SY17-18,3/1/2018,Hampton SAU Office,,,,,,,,,,,,,,,,,NH@000@0090,78.972972973,1461,136.108108108,2518,,,,,,,,18.5,,,,,,,,,7 Scott Road,Hampton,3842,Rockingham,2194,324,6294,1337,124,1224
2018,6,,,,,,,18.5,18.5,,,0047,NH,SY17-18,6/1/2018,Jaffrey-Rindge SAU Office,,,,,,,,,,,,,,,,,NH@000@0047,46.378378378,858,124.864864865,2310,,,,,,,,18.5,,,,,,,,,"81 Fitzgerald Drive, Unit 2",Jaffrey,3452,Cheshire,1801,509,2796,729,129,390
2017,9,,,,,,,18.5,18.5,,,0593,NH,SY17-18,9/1/2017,Webster House,,,,,,,,,,,,,,,,,NH@000@0593,19.189189189,355,8.972972973,166,,,,,,,,18.5,,,,,,,,,135 Webster Street,Manchester,3104,Hillsborough,166,0,0,355,0,0
2017,12,,,,,,,18.5,18.5,,,0506,NH,SY17-18,12/1/2017,Pine Haven Boys School,,,,,,,,,,,,,,,,,NH@000@0506,27.135135135,502,26.918918919,498,,,,,,,,18.5,,,,,,,,,PO Box 162,Allenstown,3275,Merrimack,498,0,0,502,0,0
2018,5,,,,,,,18.5,18.5,,,0052,NH,SY17-18,5/1/2018,Portsmouth SAU Office,,,,,,,,,,,,,,,,,NH@000@0052,211.135135135,3906,332.378378378,6149,,,,,,,,18.5,,,,,,,,,"1 Junkins Ave, 4th Floor",Portsmouth,3801,Rockingham,5314,835,11691,3465,441,2830
2017,10,,,,,,,18.5,18.5,,,0086,NH,SY17-18,10/1/2017,Barnstead SAU Office,,,,,,,,,,,,,,,,,NH@000@0086,87.405405405,1617,116.810810811,2161,,,,,,,,18.5,,,,,,,,,PO BOX 250,Barnstead,3225,Belknap,1740,421,2371,1383,234,942
2017,9,,,,,,,18.5,18.5,,,0087,NH,SY17-18,9/1/2017,Mascenic Regional SAU Office,,,,,,,,,,,,,,,,,NH@000@0087,149.351351351,2763,240.054054054,4441,,,,,,,,18.5,,,,,,,,,16 School Street,Greenville,3071,Hillsborough,3659,782,3390,2457,306,546
2018,1,,,,,,,18.5,18.5,,,0062,NH,SY17-18,1/1/2018,Mascoma Valley SAU Office,,,,,,,,,,,,,,,,,NH@000@0062,209.567567568,3877,300.702702703,5563,,,,,,,,18.5,,,,,,,,,PO Box 789,Enfield,3748,Grafton,4588,975,5269,3390,487,1219
2018,5,,,,,,,18.5,18.5,,,0031,NH,SY17-18,5/1/2018,Newmarket SAU Office,,,,,,,,,,,,,,,,,NH@000@0031,128.648648649,2380,157.297297297,2910,,,,,,,,18.5,,,,,,,,,186A Main St,Newmarket,3857,Rockingham,2530,380,5120,2281,99,1498
2018,2,,,,,,,18.5,18.5,,,0057,NH,SY17-18,2/1/2018,Salem SAU Office,,,,,,,,,,,,,,,,,NH@000@0057,164.432432432,3042,265.675675676,4915,,,,,,,,18.5,,,,,,,,,38 Geremonty Drive,Salem,3079,Rockingham,3917,998,14658,2720,322,2678
2018,1,,,,,,,18.5,18.5,,,0006,NH,SY17-18,1/1/2018,Claremont SAU Office,,,,,,,,,,,,,,,,,NH@000@0006,321.189189189,5942,657.621621622,12166,,,,,,,,18.5,,,,,,,,,165 Broad Street,Claremont,3743,Sullivan,11194,972,6230,5568,374,1857
2018,2,,,,,,,18.5,18.5,,,0067,NH,SY17-18,2/1/2018,Bow SAU Office,,,,,,,,,,,,,,,,,NH@000@0067,20.324324324,376,78,1443,,,,,,,,18.5,,,,,,,,,32 White Rock Hill Road,Bow,3304,Merrimack,1282,161,10667,329,47,942
2017,10,,,,,,,18.5,18.5,,,0076,NH,SY17-18,10/1/2017,Lyme SAU Office,,,,,,,,,,,,,,,,,NH@000@0076,,,17.189189189,318,,,,,,,,18.5,,,,,,,,,Route 10,Lyme,3768,Grafton,194,124,1494,,,
2017,11,,,,,,,18.5,18.5,,,0053,NH,SY17-18,11/1/2017,Pembroke SAU Office,,,,,,,,,,,,,,,,,NH@000@0053,244,4514,510.918918919,9452,,,,,,,,18.5,,,,,,,,,267 Pembroke Street,Pembroke,3275,Merrimack,7929,1523,15858,4069,445,2186
2018,3,,,,,,,18.5,18.5,,,0083,NH,SY17-18,3/1/2018,Fremont SAU Office,,,,,,,,,,,,,,,,,NH@000@0083,12.918918919,239,36.432432432,674,,,,,,,,18.5,,,,,,,,,432 Main Street,Fremont,3044,Rockingham,431,243,2483,155,84,484
2017,9,,,,,,,18.5,18.5,,,0047,NH,SY17-18,9/1/2017,Jaffrey-Rindge SAU Office,,,,,,,,,,,,,,,,,NH@000@0047,96.756756757,1790,329.675675676,6099,,,,,,,,18.5,,,,,,,,,"81 Fitzgerald Drive, Unit 2",Jaffrey,3452,Cheshire,4537,1562,6485,1552,238,436
2017,11,,,,,,,18.5,18.5,,,0094,NH,SY17-18,11/1/2017,Winchester SAU Office,,,,,,,,,,,,,,,,,NH@000@0094,152.540540541,2822,241.081081081,4460,,,,,,,,18.5,,,,,,,,,85 Parker St.,Winchester,3470,Cheshire,4460,0,1449,2822,0,916
2018,2,,,,,,,18.5,18.5,,,0001,NH,SY17-18,2/1/2018,Contoocook Valley SAU Office,,,,,,,,,,,,,,,,,NH@000@0001,159.351351351,2948,329.135135135,6089,,,,,,,,18.5,,,,,,,,,106 Hancock Road,Peterborough,3458,Hillsborough,5059,1030,8159,2631,317,1524
2017,12,,,,,,,18.5,18.5,,,0064,NH,SY17-18,12/1/2017,Milton SAU Office,,,,,,,,,,,,,,,,,NH@000@0064,35.027027027,648,100.756756757,1864,,,,,,,,18.5,,,,,,,,,20 School St.,Milton,3851,Strafford,1558,306,1845,557,91,276
2017,11,,,,,,,18.5,18.5,,,0512,NH,SY17-18,11/1/2017,"Easter Seals NH, Inc.",,,,,,,,,,,,,,,,,NH@000@0512,131.297297297,2429,112.378378378,2079,,,,,,,,18.5,,,,,,,,,1 Mammoth Rd,Manchester,3102,Hillsborough,2079,0,51,2429,0,31
2017,9,,,,,,,18.5,18.5,,,0093,NH,SY17-18,9/1/2017,Monadnock Regional SAU Office,,,,,,,,,,,,,,,,,NH@000@0093,248.108108108,4590,492.756756757,9116,,,,,,,,18.5,,,,,,,,,600 Old Homestead Highway,Swanzey,3446,Cheshire,7506,1610,8366,4020,570,1984
2018,1,,,,,,,18.5,18.5,,,0512,NH,SY17-18,1/1/2018,"Easter Seals NH, Inc.",,,,,,,,,,,,,,,,,NH@000@0512,139.135135135,2574,116.432432432,2154,,,,,,,,18.5,,,,,,,,,1 Mammoth Rd,Manchester,3102,Hillsborough,2154,0,32,2574,0,18
2018,1,,,,,,,18.5,18.5,,,0056,NH,SY17-18,1/1/2018,Somersworth SAU Office,,,,,,,,,,,,,,,,,NH@000@0056,299.459459459,5540,553.945945946,10248,,,,,,,,18.5,,,,,,,,,51 West High Street,Somersworth,3878,Strafford,8535,1713,6923,4755,785,1529
2018,4,,,,,,,18.5,18.5,,,0031,NH,SY17-18,4/1/2018,Newmarket SAU Office,,,,,,,,,,,,,,,,,NH@000@0031,91.405405405,1691,118.432432432,2191,,,,,,,,18.5,,,,,,,,,186A Main St,Newmarket,3857,Rockingham,1920,271,3834,1599,92,1062
2018,1,,,,,,,18.5,18.5,,,0301,NH,SY17-18,1/1/2018,Prospect Mountain JMA,,,,,,,,,,,,,,,,,NH@000@0301,39.783783784,736,70.756756757,1309,,,,,,,,18.5,,,,,,,,,242 Suncook Valley Road,Alton,3809,Belknap,1009,300,3092,610,126,944
2017,11,,,,,,,18.5,18.5,,,0032,NH,SY17-18,11/1/2017,Plainfield SAU Office,,,,,,,,,,,,,,,,,NH@000@0032,,,8,148,,,,,,,,18.5,,,,,,,,,92 Bonner Road,Meriden,3745,Sullivan,134,14,854,,,
