State-Reporting,Street Address-Line 1,City,State-Physical,Zip Code,School Name,District ID,School ID,District Name,County,Street Address-Line 2,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,School Type-Original
OH,1500 W Jefferson St, Springfield, Ohio, 45506,Clark Center,044818,00011711,Springfield City Sd,Clark,,Y,,N,,,9/1/2016,9,2016,402,,235,,,3163,0,0,,3406,0,0,,,18.5,18.5,,,,,,,,,3163,170.972972973,3406,184.108108108,OH@00011711@044818,390448105635,SY16-17,,235,1,Primary,Public,,,,,,,Elementary School,Public School
OH,1100 Broad Ave, Findlay, Ohio, 45840,Washington Preschool,043984,00014260,Findlay City Sd,Hancock,,N,,N,,,9/1/2016,9,2016,221,,67,11,,571,97,32,,0,0,0,,,18.5,18.5,,,,,,,,,668,36.108108108,0,0,OH@00014260@043984,391000005803,SY16-17,,78,0.352941176,Other,Public,,,,,,,Ungraded,Public School
OH,16200 Burrows Rd, Thompson, Ohio, 44086,Ledgemont Elementary,047167,00015327,Berkshire Local Sd,Geauga,,N,,N,,,9/1/2016,9,2016,212,,53,19,,822,218,778,,392,63,133,,,18.5,18.5,,,,,,,,,1040,56.216216216,455,24.594594595,OH@00015327@047167,390471605861,SY16-17,,72,0.339622642,Primary,Public,,,,,,,Elementary School,Public School
OH,4447 Hoover Ave, Dayton, Ohio, 45417,Thurgood Marshall High School,043844,00006841,Dayton City Sd,Montgomery,,Y,,N,,,9/1/2016,9,2016,563,,407,,,8178,0,0,,5118,0,0,,,18.5,18.5,,,,,,,,,8178,442.054054054,5118,276.648648649,OH@00006841@043844,390438400782,SY16-17,,407,1,High,Public,,,,,,,High School,Public School
OH,7569 N Elyria Rd, West Salem, Ohio, 44287,Northwestern Middle School,050575,00007195,Northwestern Local Sd,Wayne,,N,,N,,,9/1/2016,9,2016,348,,110,38,,1543,474,1793,,618,138,143,,,18.5,18.5,,,,,,,,,2017,109.027027027,756,40.864864865,OH@00007195@050575,391003303992,SY16-17,,148,0.425287356,Middle,Public,,,,,,,Middle School,Public School
OH,1320 Duxberry Ave, Columbus, Ohio, 43211,Linden-Mckinley On Arcadia,043802,00021030,Columbus Public Schools,Franklin,,Y,,N,,,9/1/2016,9,2016,619,,505,,,8830,0,0,,5309,0,0,,,18.5,18.5,,,,,,,,,8830,477.297297297,5309,286.972972973,OH@00021030@043802,390438000672,SY16-17,,505,1,High,Public,,,,,,,High School,Public School
OH,6826 Retton Rd, Reynoldsburg, Ohio, 43068,Herbert Mills Elementary School,047001,00024893,Reynoldsburg City Sd,Franklin,,N,,N,,,9/1/2016,9,2016,343,,187,46,,3397,796,1327,,3132,611,829,,,18.5,18.5,,,,,,,,,4193,226.648648649,3743,202.324324324,OH@00024893@047001,390470002738,SY16-17,,233,0.679300292,Primary,Public,,,,,,,Elementary School,Public School
OH,7473 N Elyria Rd, West Salem, Ohio, 44287,Northwestern High School,050575,00027888,Northwestern Local Sd,Wayne,,N,,N,,,9/1/2016,9,2016,401,,124,50,,1362,556,2268,,404,66,71,,,18.5,18.5,,,,,,,,,1918,103.675675676,470,25.405405405,OH@00027888@050575,391003303993,SY16-17,,174,0.433915212,High,Public,,,,,,,High School,Public School
OH,701 E Home Rd, Springfield, Ohio, 45503,Springfield High School,044818,00035527,Springfield City Sd,Clark,,Y,,N,,,9/1/2016,9,2016,1744,,895,,,26223,0,0,,10069,0,0,,,18.5,18.5,,,,,,,,,26223,1417.459459459,10069,544.270270270,OH@00035527@044818,390448101701,SY16-17,,895,1,High,Public,,,,,,,High School,Public School
OH,1900 Harshman Rd, Dayton, Ohio, 45424,Stebbins High School,048702,00035956,Mad River,Montgomery,,N,,N,,,9/1/2016,9,2016,1225,,559,149,,8306,2291,5195,,1785,519,660,,,18.5,18.5,,,,,,,,,10597,572.810810811,2304,124.540540541,OH@00035956@048702,390487003364,SY16-17,,708,0.577959184,High,Public,,,,,,,High School,Public School
