IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
59,Ada Elementary School,Elementary School,Public School,Hardin,"435 Grand Ave, Ada, Ohio, 45810",45187
67,Ada High School,High School,Public School,Hardin,"435 Grand Ave, Ada, Ohio, 45810",45187
83,Sandusky Middle School,Middle School,Public School,Erie,"318 Columbus Ave, Sandusky, Ohio, 44870",44743
117,Adamsville Elementary School,Elementary School,Public School,Muskingum,"7950 East St, Adamsville, Ohio, 43802",48876
141,Addaville Elementary School,Elementary School,Public School,Gallia,"1333 Brick School Rd, Gallipolis, Ohio, 45631",65680
190,Buckeye West Elementary School,Elementary School,Public School,Jefferson,"243 N Mill St, Adena, Ohio, 43901",47787
208,Adena High School,High School,Public School,Ross,"3367 County Road 550, Frankfort, Ohio, 45628",49494
224,Adlai Stevenson School,Elementary School,Public School,Cuyahoga,"18300 Woda, Cleveland, Ohio, 44122",43786
232,Adrian Elementary School,Elementary School,Public School,Cuyahoga,"1071 Homestead Rd, South Euclid, Ohio, 44121",44792
257,Alexander Elementary School,Elementary School,Public School,Athens,"6105 School Road, Albany, Ohio, 45710",45906
265,Albion Elementary School,Elementary School,Public School,Cuyahoga,"9360 Albion Rd, North Royalton, Ohio, 44133",44545
315,Alexander Jr. / Sr. High School,High School,Public School,Athens,"6125 School Rd, Albany, Ohio, 45710",45906
349,Upper Scioto Valley Middle School,Middle School,Public School,Hardin,"510 South Courtright Street, Mc Guffey, Ohio, 45859",47522
356,Genoa Elementary,Elementary School,Public School,Ottawa,"2820 N Genoa Clay Center Rd, Genoa, Ohio, 43430",48942
364,Allen East High School,High School,Public School,Allen,"9105 Harding Hwy, Harrod, Ohio, 45850",45757
398,Allen Elementary School,Elementary School,Public School,Ross,"174 Plyleys Ln, Chillicothe, Ohio, 45601",43745
406,Allen Elementary School,Elementary School,Public School,Stark,"1326 Sherrick Rd SE, Canton, Ohio, 44707",43711
448,Allen East Elementary School,Elementary School,Public School,Allen,"9105 Harding Hwy, Harrod, Ohio, 45850",45757
455,West Elementary,Elementary School,Public School,Vinton,"57710 US Highway 50, Mc Arthur, Ohio, 45651",50393
