IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,ORG MAILING ADDRESS,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME
000059,Ada Elementary School,Elementary School,K-6,Public School,School,Open,Hardin,N/A,N/A,"435 Grand Ave, Ada, Ohio, 45810",(419) 634-2341,(419) 634-0311,N/A,N/A,N/A,N/A,N/A,N/A,Robin Vanbuskirk,vanbuskirkr@adabulldogs.org,(419) 634-2746,045187,Ada Exempted Village
000067,Ada High School,High School,7-12,Public School,School,Open,Hardin,N/A,N/A,"435 Grand Ave, Ada, Ohio, 45810",(419) 634-2746,(419) 634-0311,N/A,N/A,N/A,N/A,N/A,N/A,Robin Vanbuskirk,vanbuskirkr@adabulldogs.org,(419) 634-2746,045187,Ada Exempted Village
000083,Sandusky Middle School,Middle School,7-8,Public School,School,Open,Erie,N/A,Jjohns@scs-k12.net,"318 Columbus Ave, Sandusky, Ohio, 44870",(419) 984-1180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marie Prieto,mprieto@scs-k12.net,(419) 984-1180,044743,Sandusky City
000117,Adamsville Elementary School,Elementary School,K-6,Public School,School,Open,Muskingum,N/A,hwelch@tvschools.org,"7950 East St, Adamsville, Ohio, 43802",(740) 796-2153,(740) 796-4781,N/A,N/A,N/A,N/A,N/A,N/A,Michael Smith,dmsmith@tvschools.org,(740) 453-5777,048876,Tri-Valley Local 
000141,Addaville Elementary School,Elementary School,"K-5,P",Public School,School,Open,Gallia,N/A,gl_bmitchem@seovec.org,"1333 Brick School Rd, Gallipolis, Ohio, 45631",(740) 367-7283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thomas Mitchem,gl_bmitchem@seovec.org,(740) 645-2843,065680,Gallia County Local
000190,Buckeye West Elementary School,Elementary School,"K-6,P",Public School,School,Open,Jefferson,N/A,william.luther@omeresa.net,"243 N Mill St, Adena, Ohio, 43901",(740) 546-3413,(740) 546-3815,N/A,N/A,N/A,N/A,N/A,N/A,Lucas Parsons,lucasrichardparsons@yahoo.com,(740) 317-3981,047787,Buckeye Local 
000208,Adena High School,High School,9-12,Public School,School,Open,Ross,N/A,N/A,"3367 County Road 550, Frankfort, Ohio, 45628",(740) 998-2313,(740) 998-2317,N/A,N/A,N/A,N/A,N/A,N/A,Joshua Jones,Josh.Jones@adenalocalschools.com,(740) 466-9506,049494,Adena Local
000224,Adlai Stevenson School,Elementary School,K-8,Public School,School,Open,Cuyahoga,N/A,N/A,"18300 Woda, Cleveland, Ohio, 44122",(216) 838-5300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Wyland,christopher.wyland@clevelandmetroschools.org,(440) 840-3161,043786,Cleveland Municipal
000232,Adrian Elementary School,Elementary School,K-3,Public School,School,Open,Cuyahoga,N/A,N/A,"1071 Homestead Rd, South Euclid, Ohio, 44121",(216) 691-2170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mark Woodby,woodby@sel.k12.oh.us,(216) 346-6145,044792,South Euclid-Lyndhurst City
000257,Alexander Elementary School,Elementary School,"K-5,P",Public School,School,Open,Athens,N/A,N/A,"6105 School Road, Albany, Ohio, 45710",(740) 698-8831,(740) 698-2137,N/A,N/A,N/A,N/A,N/A,N/A,Melissa Guffey,mguffey@alexanderschools.org,(740) 698-8831,045906,Alexander Local
000265,Albion Elementary School,Elementary School,K-4,Public School,School,Open,Cuyahoga,N/A,N/A,"9360 Albion Rd, North Royalton, Ohio, 44133",(440) 582-9060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vincent Ketterer,vince.ketterer@northroyaltonsd.org,(216) 970-3139,044545,North Royalton City
000315,Alexander Jr. / Sr. High School,High School,6-12,Public School,School,Open,Athens,N/A,N/A,"6125 School Rd, Albany, Ohio, 45710",(740) 698-8831,(740) 698-3614,N/A,N/A,N/A,N/A,N/A,N/A,Franklin Doudna,fdoudna@alexanderschools.org,(740) 698-8831,045906,Alexander Local
000349,Upper Scioto Valley Middle School,Middle School,7-8,Public School,School,Open,Hardin,N/A,N/A,"510 South Courtright Street, Mc Guffey, Ohio, 45859",(419) 757-3231,(419) 757-0135,N/A,N/A,N/A,N/A,N/A,N/A,Craig Hurley,churley@usvschools.org,(419) 757-3231,047522,Upper Scioto Valley Local
000356,Genoa Elementary,Elementary School,K-5,Public School,School,Open,Ottawa,N/A,bamurphy@genoaschools.com,"2820 N Genoa Clay Center Rd, Genoa, Ohio, 43430",(419) 855-7741,(419) 855-7741,N/A,N/A,N/A,N/A,N/A,N/A,Brenda Murphy,bamurphy@genoaschools.com,(419) 855-7741,048942,Genoa Area Local
000364,Allen East High School,High School,9-12,Public School,School,Open,Allen,N/A,N/A,"9105 Harding Hwy, Harrod, Ohio, 45850",(419) 648-3333,(419) 649-8900,N/A,N/A,N/A,N/A,N/A,N/A,Keith Baumgartner,baumgartnerk@ae.noacsc.org,N/A,045757,Allen East Local
000398,Allen Elementary School,Elementary School,K-6,Public School,School,Open,Ross,N/A,N/A,"174 Plyleys Ln, Chillicothe, Ohio, 45601",(740) 774-1119,(740) 774-9460,N/A,N/A,N/A,N/A,N/A,N/A,Joanna Bradley,joanna.bradley@ccsd.us,(740) 774-1119,043745,Chillicothe City
000406,Allen Elementary School,Elementary School,"K-2,P",Public School,School,Open,Stark,N/A,N/A,"1326 Sherrick Rd SE, Canton, Ohio, 44707",(330) 453-2782,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christen Sedmock,sedmock_c@ccsdistrict.org,(330) 452-5391,043711,Canton City
000448,Allen East Elementary School,Elementary School,K-5,Public School,School,Open,Allen,N/A,N/A,"9105 Harding Hwy, Harrod, Ohio, 45850",(419) 648-3333,(419) 648-5282,N/A,N/A,N/A,N/A,N/A,N/A,Larry Altenburger,altenburgerl@alleneastschool.org,(419) 648-3333,045757,Allen East Local
