Breakfast Delivery Model from State Agency Tracking-Original,School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
,10792,Adrian Elem,2301001,Adrian SD 61,OR,Malheur,Adrian,97901,207 Owyhee St.,,,Public-Regular School,N,,N,,,,,,213,84,93,36,129,11290,4245,8797,15535,4234,1081,1124,5315,,148,148,,,,,,,,OR,15535,104.966216216,5315,35.912162162,OR@10792@2301001,SY16-17,,129,0.605633803,,Public,,,,,,,
,10790,Adrian High,2301001,Adrian SD 61,OR,Malheur,Adrian,97901,305 Owyhee St,,,Public-Regular School,N,,N,,,,,,96,50,34,12,46,3563,1310,5304,4873,857,184,547,1041,,148,148,,,,,,,,OR,4873,32.925675676,1041,7.033783784,OR@10790@2301001,SY16-17,,46,0.479166667,,Public,,,,,,,
,13509,Albany Christian School,2201002,Albany Christian School,OR,Linn,Albany,97321,420 Third Ave. SE,,,Private - Non-Profit-Regular School,N,,N,,,,,,287,263,20,4,24,1287,231,7125,1518,0,0,0,0,,0,158,,,,,,,,OR,1518,9.607594937,0,,OR@13509@2201002,SY16-17,,24,0.083623693,,Nonpublic,,,,,,,
,11414,Subacute,2611001,Albertina Kerr Centers,OR,Multnomah,Portland,97230,832 NE 162nd Ave,,,Private - Non-Profit-Residential Child Care Institution,N,,N,,,,,,24,0,24,0,24,6261,0,0,6261,6034,0,0,6034,,365,365,,,,,,,,OR,6261,17.153424658,6034,16.531506849,OR@11414@2611001,SY16-17,,24,1,,Other,,,,,,,
,15015,Alsea Elementary School,0201001,Alsea SD 7J,OR,Benton,Alsea,97324,301 South 3rd St.,,,Public-Regular School,N,,N,,,,,,80,24,46,10,56,4538,963,1233,5501,4186,612,2299,4798,,151,155,,,,,,,,OR,5501,35.490322581,4798,31.774834437,OR@15015@0201001,SY16-17,,56,0.7,,Public,,,,,,,410120001502
,15014,Alsea Schools,0201001,Alsea SD 7J,OR,Benton,Alsea,97324,301 South 3rd St.,,,Public-Regular School,N,,N,,,,,,67,27,27,13,40,1702,186,437,1888,2401,896,1091,3297,,155,154,,,,,,,,OR,1888,12.259740260,3297,21.270967742,OR@15014@0201001,SY16-17,,40,0.597014925,,Public,,,,,,,
,10161,Amity Elementary,3601002,Amity SD 4J,OR,Yamhill,Amity,97101,300 Rice Ln.,,,Public-Regular School,N,,N,,,,,,402,193,174,35,209,17275,3668,9989,20943,7710,1842,4074,9552,,146,146,,,,,,,,OR,20943,143.445205479,9552,65.424657534,OR@10161@3601002,SY16-17,,209,0.519900498,,Public,,,,,,,
,10159,Amity High,3601002,Amity SD 4J,OR,Yamhill,Amity,97101,503 Oak St,,,Public-Regular School,N,,N,,,,,,401,289,98,14,112,5847,632,3726,6479,3787,505,1498,4292,,148,148,,,,,,,,OR,6479,43.777027027,4292,29,OR@10159@3601002,SY16-17,,112,0.279301746,,Public,,,,,,,
,10160,Amity Middle,3601002,Amity SD 4J,OR,Yamhill,Amity,97101,115 Church St,,,Public-Regular School,N,,N,,,,,,198,97,86,15,101,9445,1396,4643,10841,1330,481,543,1811,,148,148,,,,,,,,OR,10841,73.25,1811,12.236486486,OR@10160@3601002,SY16-17,,101,0.510101010,,Public,,,,,,,
,10162,Annex Charter School,2301002,Annex SD 29,OR,Malheur,Ontario,97914,402 Annex Road,,,Public-Charter School,N,,Y,,,,,,73,14,47,12,59,6796,1648,1771,8444,4138,1342,1291,5480,,155,155,,,,,,,,OR,8444,54.477419355,5480,35.354838710,OR@10162@2301002,SY16-17,,59,0.808219178,,Charter,,,,,,,410135000753
