Operating Days-Breakfast Only,Provision 1 (Y/N),State-Physical,School ID,School Name,District ID,District Name,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
149.4,,,10792,Adrian Elem,2301001,Adrian SD 61,Malheur,,,,,,,N,N,,,,,,209,,,,121,11684,5000,8958,,,,1293,6177,,150,,,,,,,,,OR,16684,111.226666667,6177,41.345381526,OR@10792@2301001,SY17-18,,121,0.578947368,,,,,,,,,
152.090909091,,,10790,Adrian High,2301001,Adrian SD 61,Malheur,,,,,,,N,Y,,,,,,98,,,,46,4266,1074,5545,,,,3616,3076,,150,,,,,,,,,OR,5340,35.6,3076,20.224745965,OR@10790@2301001,SY17-18,,46,0.469387755,,,,,,,,,
18.5,,,13509,Albany Christian School,C2201002,Albany Christian School,Linn,,,,,,,N,N,,,,,,295,,,,32,1568,474,7071,,,,0,0,,166,,,,,,,,,OR,2042,12.301204819,0,0,OR@13509@C2201002,SY17-18,,32,0.108474576,,,,,,,,,
347.9375,,,11414,Subacute,2611001,Albertina Kerr Centers,Multnomah,,,,,,,N,N,,,,,,24,,,,24,5857,0,0,,,,0,5567,,352,,,,,,,,,OR,5857,16.639204545,5567,16,OR@11414@2611001,SY17-18,,24,1,,,,,,,,,
155.5,,,15014,Alsea Schools,0201001,Alsea SD 7J,Benton,,,,,,,N,N,,,,,,158,,,,107,8471,1134,1866,,,,3251,10433,,155,,,,,,,,,OR,9605,61.967741935,10433,67.093247588,OR@15014@0201001,SY17-18,,107,0.677215190,,,,,,,,,
147.009803922,,,10161,Amity Elementary,3601002,Amity SD 4J,Yamhill,,,,,,,N,N,,,,,,481,,,,221,15969,3129,9842,,,,5116,9879,,147,,,,,,,,,OR,19098,129.918367347,9879,67.199599867,OR@10161@3601002,SY17-18,,221,0.459459459,,,,,,,,,
148.421052632,,,10159,Amity High,3601002,Amity SD 4J,Yamhill,,,,,,,N,N,,,,,,490,,,,174,6791,2058,3606,,,,2035,6425,,149,,,,,,,,,OR,8849,59.389261745,6425,43.289007092,OR@10159@3601002,SY17-18,,174,0.355102041,,,,,,,,,
151.931034483,,,10160,Amity Middle,3601002,Amity SD 4J,Yamhill,,,,,,,N,N,,,,,,213,,,,109,9175,1407,5098,,,,1078,3328,,149,,,,,,,,,OR,10582,71.020134228,3328,21.904675443,OR@10160@3601002,SY17-18,,109,0.511737089,,,,,,,,,
166.340425532,,,10162,Annex Charter School,2301002,Annex SD 29,Malheur,,,,,,,Y,N,,,,,,87,,,,71,9376,0,2052,,,,1404,6414,,166,,,,,,,,,OR,9376,56.481927711,6414,38.559478127,OR@10162@2301002,SY17-18,,71,0.820441022,,,,,,,,,410135000753
18.5,,,15340,Arco Iris Spanish Immersion Charter School,3401003,Arco Iris,Washington,,,,,,,N,N,,,,,,326,,,,29,4275,410,3270,,,,0,0,,175,,,,,,,,,OR,4685,26.771428571,0,0,OR@15340@3401003,SY17-18,,29,0.088957055,,,,,,,,,
