Claim Date,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,School Year,State-Reporting,Unique ID,Zip Code,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Claim Year,Claim Month,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,Street Address-Line 1,State-Physical,County,School Type-Original,District ID,School ID,Operating Days,Enrollment-Free,Enrollment-Reduced,Enrollment-Paid,Enrollment-Total,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,District Name,School Name,City,CEP (Y/N),Breakfast Delivery Model from State Agency Tracking-Original
7/1/2017,377,50,230,SY17-18,RI,RI@7126@7190,,,,,,,,Public,,,28,,,21.35,427,0,0,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,7190,7126,20,22,6,19,47,0,0,0,,,,,
7/1/2017,496,70,262,SY17-18,RI,RI@7130@7190,,,,,,,,Public,,,53,,,28.3,566,0,0,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,7190,7130,20,45,8,20,73,0,0,0,,,,,
7/1/2017,127,0,0,SY17-18,RI,RI@28103@28190,,,,,,,,Public,,,264,,,6.35,127,6.1,122,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28103,20,236,28,16,280,122,0,0,,,,,
7/1/2017,0,0,0,SY17-18,RI,RI@28106@28190,,,,,,,,Public,,,184,,,0,0,1,2,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28106,2,184,0,0,184,2,0,0,,,,,
7/1/2017,273,2,31,SY17-18,RI,RI@28113@28190,,,,,,,,Public,,,481,,,14.473684211,275,16.736842105,318,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28113,19,447,34,104,585,318,0,31,,,,,
7/1/2017,223,0,0,SY17-18,RI,RI@28115@28190,,,,,,,,Public,,,566,,,11.15,223,10.1,202,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28115,20,545,21,137,703,202,0,0,,,,,
7/1/2017,47,0,0,SY17-18,RI,RI@28116@28190,,,,,,,,Public,,,525,,,2.611111111,47,2.666666667,48,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28116,18,496,29,84,609,48,0,0,,,,,
7/1/2017,22,0,0,SY17-18,RI,RI@28121@28190,,,,,,,,Public,,,588,,,1.157894737,22,0.947368421,18,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28121,19,588,0,0,588,18,0,0,,,,,
7/1/2017,80,0,0,SY17-18,RI,RI@28122@28190,,,,,,,,Public,,,370,,,4,80,4.05,81,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28122,20,370,0,0,370,81,0,0,,,,,
7/1/2017,64,1,19,SY17-18,RI,RI@28127@28190,,,,,,,,Public,,,325,,,3.25,65,3.2,64,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28127,20,298,27,71,396,64,0,17,,,,,
7/1/2017,7,0,0,SY17-18,RI,RI@28130@28190,,,,,,,,Public,,,600,,,0.777777778,7,0.222222222,2,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28130,9,600,0,0,600,2,0,0,,,,,
7/1/2017,3,0,0,SY17-18,RI,RI@28134@28190,,,,,,,,Public,,,439,,,0.75,3,0.25,1,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28134,4,439,0,0,439,1,0,0,,,,,
7/1/2017,1,0,2,SY17-18,RI,RI@28135@28190,,,,,,,,Public,,,747,,,0.166666667,1,0.333333333,2,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28135,6,694,53,75,822,2,0,1,,,,,
7/1/2017,408,31,88,SY17-18,RI,RI@28137@28190,,,,,,,,Public,,,474,,,21.95,439,22.25,445,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28137,20,443,31,75,549,414,31,90,,,,,
7/1/2017,2,1,0,SY17-18,RI,RI@28138@28190,,,,,,,,Public,,,356,,,0.5,3,0.333333333,2,,,,,,,,,,,,,2017,7,,,,,,,,,,LEA,28190,28138,6,318,38,130,486,2,0,1,,,,,
