School ID,School Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,District ID,Operating Days-Lunch Only,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,State-Reporting,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,County,School Type-Original
001,Abbeville High,,,,,,,,,,,,8/1/2016,8,2016,489,,308,45,,,,,,,,,,,,,3210,267.5,915,76.25,SC@1@160,450069000011,SY16-17,,353,0.721881391,,Public,,,,,,,Abbeville 60,0160,12,1254,2836,374,SC,12,228,875,40,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,9/1/2016,9,2016,490,,295,50,,,,,,,,,,,,,5290,251.904761905,1776,84.571428571,SC@1@160,450069000011,SY16-17,,345,0.704081633,,Public,,,,,,,Abbeville 60,0160,21,2242,4682,608,SC,21,430,1638,138,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,10/1/2016,10,2016,489,,259,43,,,,,,,,,,,,,4611,230.55,1712,85.6,SC@1@160,450069000011,SY16-17,,302,0.617586912,,Public,,,,,,,Abbeville 60,0160,20,2440,4033,578,SC,20,566,1551,161,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,11/1/2016,11,2016,489,,263,44,,,,,,,,,,,,,3937,218.722222222,1501,83.388888889,SC@1@160,450069000011,SY16-17,,307,0.627811861,,Public,,,,,,,Abbeville 60,0160,18,2053,3434,503,SC,18,467,1375,126,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,12/1/2016,12,2016,5872,,3095,538,,,,,,,,,,,,,2452,204.333333333,894,74.5,SC@1@160,450069000011,SY16-17,,3633,0.618698910,,Public,,,,,,,Abbeville 60,0160,12,1249,2131,321,SC,12,271,814,80,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,1/1/2017,1,2017,8798,,260,46,,,,,,,,,,,,,3712,218.352941176,1127,66.294117647,SC@1@160,450069000011,SY16-17,,306,0.034780632,,Public,,,,,,,Abbeville 60,0160,17,1810,3256,456,SC,17,351,1025,102,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,2/1/2017,2,2017,9246,,257,47,,,,,,,,,,,,,4051,213.210526316,1364,71.789473684,SC@1@160,450069000011,SY16-17,,304,0.032879083,,Public,,,,,,,Abbeville 60,0160,19,1932,3522,529,SC,19,427,1234,130,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,3/1/2017,3,2017,10653,,261,47,,,,,,,,,,,,,4391,199.590909091,1521,69.136363636,SC@1@160,450069000011,SY16-17,,308,0.028912044,,Public,,,,,,,Abbeville 60,0160,22,2030,3857,534,SC,22,434,1384,137,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,4/1/2017,4,2017,6731,,3654,614,,,,,,,,,,,,,2791,199.357142857,896,64,SC@1@160,450069000011,SY16-17,,4268,0.634081117,,Public,,,,,,,Abbeville 60,0160,14,1316,2459,332,SC,14,258,823,73,Abbeville County,Public
001,Abbeville High,,,,,,,,,,,,5/1/2017,5,2017,11428,,5667,944,,,,,,,,,,,,,4272,178,1416,59,SC@1@160,450069000011,SY16-17,,6611,0.578491425,,Public,,,,,,,Abbeville 60,0160,24,1940,3830,442,SC,24,372,1333,83,Abbeville County,Public
