Enrollment-Reduced,Enrollment-Free,Enrollment-Total,CEP (Y/N),Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,School Year,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,State-Physical,School Name,School ID,District Name,District ID,Claim Date,State-Reporting,County,School Type-Original,Operating Days-Lunch Only,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,NCES ID,ISP
44,290,481,N,,,,,,,Public,,0.694386694,334,,SY17-18,SC@001@0160,54,540,221.7,2217,,,,,,,,,,,,,,2017,8,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,8/1/2017,SC,Abbeville County,Public,10,761,2072,145,10,96,489,51,450069000011,0.3203
30,239,478,N,,,,,,,Public,,0.562761506,269,,SY17-18,SC@001@0160,57.888888889,1042,213.833333333,3849,,,,,,,,,,,,,,2017,9,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,9/1/2017,SC,Abbeville County,Public,18,1320,3622,227,18,146,956,86,450069000011,0.3203
33,252,480,N,,,,,,,Public,,0.59375,285,,SY17-18,SC@001@0160,57.714285714,1212,202.190476190,4246,,,,,,,,,,,,,,2017,10,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,10/1/2017,SC,Abbeville County,Public,21,1659,3983,263,21,295,1082,130,450069000011,0.3203
31,255,479,N,,,,,,,Public,,0.597077244,286,,SY17-18,SC@001@0160,59.210526316,1125,201,3819,,,,,,,,,,,,,,2017,11,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,11/1/2017,SC,Abbeville County,Public,19,1445,3625,194,19,236,987,138,450069000011,0.3203
34,256,479,N,,,,,,,Public,,0.605427975,290,,SY17-18,SC@001@0160,55.307692308,719,191.769230769,2493,,,,,,,,,,,,,,2017,12,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,12/1/2017,SC,Abbeville County,Public,13,934,2343,150,13,132,636,83,450069000011,0.3203
33,254,477,N,,,,,,,Public,,0.601677149,287,,SY17-18,SC@001@0160,43.8125,701,185.0625,2961,,,,,,,,,,,,,,2018,1,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,1/1/2018,SC,Abbeville County,Public,16,949,2755,206,16,135,619,82,450069000011,0.3203
31,258,473,N,,,,,,,Public,,0.610993658,289,,SY17-18,SC@001@0160,49.6,992,189.5,3790,,,,,,,,,,,,,,2018,2,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,2/1/2018,SC,Abbeville County,Public,20,1245,3599,191,20,158,891,101,450069000011,0.3203
32,255,468,N,,,,,,,Public,,0.613247863,287,,SY17-18,SC@001@0160,66.476190476,1396,204.428571429,4293,,,,,,,,,,,,,,2018,3,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,3/1/2018,SC,Abbeville County,Public,21,1282,4103,190,21,289,1281,115,450069000011,0.3203
32,254,468,N,,,,,,,Public,,0.611111111,286,,SY17-18,SC@001@0160,61.0625,977,193.8125,3101,,,,,,,,,,,,,,2018,4,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,4/1/2018,SC,Abbeville County,Public,16,907,2964,137,16,174,889,88,450069000011,0.3203
32,254,469,N,,,,,,,Public,,0.609808102,286,,SY17-18,SC@001@0160,59.863636364,1317,172.681818182,3799,,,,,,,,,,,,,,2018,5,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,5/1/2018,SC,Abbeville County,Public,22,1167,3640,159,22,272,1205,112,450069000011,0.3203
32,254,469,N,,,,,,,Public,,0.541577825,254,,SY17-18,SC@001@0160,,8,,,,,,,,,,,,,,,,2018,6,,,,,,,,,,,Abbeville High,001,Abbeville County,0160,6/1/2018,SC,Abbeville County,Public,18.5,,,,0,0,8,0,450069000011,0.3203
41,245,447,N,,,,,,,Public,,0.639821029,286,,SY17-18,SC@018@0160,112,1120,183.6,1836,,,,,,,,,,,,,,2017,8,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,8/1/2017,SC,Abbeville County,Public,10,601,1684,152,10,326,997,123,450069000065,0.3281
50,195,447,N,,,,,,,Public,,0.548098434,245,,SY17-18,SC@018@0160,125.277777778,2255,193.444444444,3482,,,,,,,,,,,,,,2017,9,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,9/1/2017,SC,Abbeville County,Public,18,1185,2930,552,18,608,1847,408,450069000065,0.3281
49,196,441,N,,,,,,,Public,,0.555555556,245,,SY17-18,SC@018@0160,119.142857143,2502,183.190476190,3847,,,,,,,,,,,,,,2017,10,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,10/1/2017,SC,Abbeville County,Public,21,1441,3296,551,21,764,2058,444,450069000065,0.3281
46,195,437,N,,,,,,,Public,,0.551487414,241,,SY17-18,SC@018@0160,116.631578947,2216,177.631578947,3375,,,,,,,,,,,,,,2017,11,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,11/1/2017,SC,Abbeville County,Public,19,1392,2918,457,19,664,1861,355,450069000065,0.3281
46,196,437,N,,,,,,,Public,,0.553775744,242,,SY17-18,SC@018@0160,110.692307692,1439,171.384615385,2228,,,,,,,,,,,,,,2017,12,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,12/1/2017,SC,Abbeville County,Public,13,992,1919,309,13,462,1204,235,450069000065,0.3281
40,200,436,N,,,,,,,Public,,0.550458716,240,,SY17-18,SC@018@0160,94.9375,1519,171.4375,2743,,,,,,,,,,,,,,2018,1,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,1/1/2018,SC,Abbeville County,Public,16,1188,2407,336,16,478,1290,229,450069000065,0.3281
40,201,433,N,,,,,,,Public,,0.556581986,241,,SY17-18,SC@018@0160,99.35,1987,184.55,3691,,,,,,,,,,,,,,2018,2,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,2/1/2018,SC,Abbeville County,Public,20,1544,3269,422,20,582,1733,254,450069000065,0.3281
40,201,430,N,,,,,,,Public,,0.560465116,241,,SY17-18,SC@018@0160,108.476190476,2278,187.380952381,3935,,,,,,,,,,,,,,2018,3,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,3/1/2018,SC,Abbeville County,Public,21,1623,3506,429,21,606,1975,303,450069000065,0.3281
39,204,434,N,,,,,,,Public,,0.559907834,243,,SY17-18,SC@018@0160,117.1875,1875,185.25,2964,,,,,,,,,,,,,,2018,4,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,4/1/2018,SC,Abbeville County,Public,16,1188,2646,318,16,601,1633,242,450069000065,0.3281
39,202,433,N,,,,,,,Public,,0.556581986,241,,SY17-18,SC@018@0160,102.772727273,2261,172.454545455,3794,,,,,,,,,,,,,,2018,5,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,5/1/2018,SC,Abbeville County,Public,22,1485,3394,400,22,653,2022,239,450069000065,0.3281
39,202,433,N,,,,,,,Public,,0.466512702,202,,SY17-18,SC@018@0160,21,21,,,,,,,,,,,,,,,,2018,6,,,,,,,,,,,Cherokee Trail Elementary,018,Abbeville County,0160,6/1/2018,SC,Abbeville County,Public,18.5,,,,1,3,21,0,450069000065,0.3281
34,200,310,N,,,,,,,Public,,0.754838710,234,,SY17-18,SC@019@0160,111.1,1111,158.2,1582,,,,,,,,,,,,,,2017,8,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,8/1/2017,SC,Abbeville County,Public,10,513,1412,170,10,383,965,146,450069000066,0.3689
40,164,313,N,,,,,,,Public,,0.651757188,204,,SY17-18,SC@019@0160,112.555555556,2026,163.333333333,2940,,,,,,,,,,,,,,2017,9,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,9/1/2017,SC,Abbeville County,Public,18,935,2519,421,18,710,1703,323,450069000066,0.3689
39,170,316,N,,,,,,,Public,,0.661392405,209,,SY17-18,SC@019@0160,107.428571429,2256,165.904761905,3484,,,,,,,,,,,,,,2017,10,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,10/1/2017,SC,Abbeville County,Public,21,1115,2908,576,21,811,1841,415,450069000066,0.3689
36,171,314,N,,,,,,,Public,,0.659235669,207,,SY17-18,SC@019@0160,108.157894737,2055,163.684210526,3110,,,,,,,,,,,,,,2017,11,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,11/1/2017,SC,Abbeville County,Public,19,1009,2615,495,19,755,1691,364,450069000066,0.3689
36,175,315,N,,,,,,,Public,,0.669841270,211,,SY17-18,SC@019@0160,103.307692308,1343,165.384615385,2150,,,,,,,,,,,,,,2017,12,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,12/1/2017,SC,Abbeville County,Public,13,690,1821,329,13,457,1101,242,450069000066,0.3689
40,177,321,N,,,,,,,Public,,0.676012461,217,,SY17-18,SC@019@0160,101.5625,1625,170,2720,,,,,,,,,,,,,,2018,1,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,1/1/2018,SC,Abbeville County,Public,16,844,2291,429,16,489,1326,299,450069000066,0.3689
38,182,323,N,,,,,,,Public,,0.681114551,220,,SY17-18,SC@019@0160,103.3,2066,167.6,3352,,,,,,,,,,,,,,2018,2,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,2/1/2018,SC,Abbeville County,Public,20,959,2813,539,20,658,1698,368,450069000066,0.3689
38,183,323,N,,,,,,,Public,,0.684210526,221,,SY17-18,SC@019@0160,112.095238095,2354,173.714285714,3648,,,,,,,,,,,,,,2018,3,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,3/1/2018,SC,Abbeville County,Public,21,1025,3087,561,21,751,1952,402,450069000066,0.3689
38,185,325,N,,,,,,,Public,,0.686153846,223,,SY17-18,SC@019@0160,111.3125,1781,179.25,2868,,,,,,,,,,,,,,2018,4,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,4/1/2018,SC,Abbeville County,Public,16,775,2445,423,16,560,1475,306,450069000066,0.3689
38,189,329,N,,,,,,,Public,,0.689969605,227,,SY17-18,SC@019@0160,105.181818182,2314,158.772727273,3493,,,,,,,,,,,,,,2018,5,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,5/1/2018,SC,Abbeville County,Public,22,942,2961,532,22,700,1891,423,450069000066,0.3689
38,189,329,N,,,,,,,Public,,0.574468085,189,,SY17-18,SC@019@0160,8,8,,,,,,,,,,,,,,,,2018,6,,,,,,,,,,,Diamond Hill Elementary,019,Abbeville County,0160,6/1/2018,SC,Abbeville County,Public,18.5,,,,1,2,4,4,450069000066,0.3689
39,237,434,N,,,,,,,Public,,0.635944700,276,,SY17-18,SC@003@0160,51.7,517,186.6,1866,,,,,,,,,,,,,,2017,8,,,,,,,,,,,Dixie High,003,Abbeville County,0160,8/1/2017,SC,Abbeville County,Public,10,1067,1679,187,10,151,481,36,450069000012,0.2418
29,215,434,N,,,,,,,Public,,0.562211982,244,,SY17-18,SC@003@0160,56.888888889,1024,189.444444444,3410,,,,,,,,,,,,,,2017,9,,,,,,,,,,,Dixie High,003,Abbeville County,0160,9/1/2017,SC,Abbeville County,Public,18,1900,3032,378,18,273,940,84,450069000012,0.2418
31,213,436,N,,,,,,,Public,,0.559633028,244,,SY17-18,SC@003@0160,61.380952381,1289,186.142857143,3909,,,,,,,,,,,,,,2017,10,,,,,,,,,,,Dixie High,003,Abbeville County,0160,10/1/2017,SC,Abbeville County,Public,21,2224,3463,446,21,375,1166,123,450069000012,0.2418
32,220,440,N,,,,,,,Public,,0.572727273,252,,SY17-18,SC@003@0160,65.631578947,1247,183.210526316,3481,,,,,,,,,,,,,,2017,11,,,,,,,,,,,Dixie High,003,Abbeville County,0160,11/1/2017,SC,Abbeville County,Public,19,1945,3105,376,19,371,1144,103,450069000012,0.2418
31,219,440,N,,,,,,,Public,,0.568181818,250,,SY17-18,SC@003@0160,71.384615385,928,176.307692308,2292,,,,,,,,,,,,,,2017,12,,,,,,,,,,,Dixie High,003,Abbeville County,0160,12/1/2017,SC,Abbeville County,Public,13,1280,2042,250,13,288,840,88,450069000012,0.2418
31,214,439,N,,,,,,,Public,,0.558086560,245,,SY17-18,SC@003@0160,65.875,1054,174.5625,2793,,,,,,,,,,,,,,2018,1,,,,,,,,,,,Dixie High,003,Abbeville County,0160,1/1/2018,SC,Abbeville County,Public,16,1556,2461,332,16,319,965,89,450069000012,0.2418
30,213,434,N,,,,,,,Public,,0.559907834,243,,SY17-18,SC@003@0160,66.3,1326,172.3,3446,,,,,,,,,,,,,,2018,2,,,,,,,,,,,Dixie High,003,Abbeville County,0160,2/1/2018,SC,Abbeville County,Public,20,1863,3041,405,20,466,1210,116,450069000012,0.2418
30,214,433,N,,,,,,,Public,,0.563510393,244,,SY17-18,SC@003@0160,63.952380952,1343,166.190476190,3490,,,,,,,,,,,,,,2018,3,,,,,,,,,,,Dixie High,003,Abbeville County,0160,3/1/2018,SC,Abbeville County,Public,21,1939,3074,416,21,546,1211,132,450069000012,0.2418
29,212,429,N,,,,,,,Public,,0.561771562,241,,SY17-18,SC@003@0160,56,896,162.125,2594,,,,,,,,,,,,,,2018,4,,,,,,,,,,,Dixie High,003,Abbeville County,0160,4/1/2018,SC,Abbeville County,Public,16,1404,2284,310,16,325,808,88,450069000012,0.2418
29,209,425,N,,,,,,,Public,,0.56,238,,SY17-18,SC@003@0160,56.545454545,1244,155.727272727,3426,,,,,,,,,,,,,,2018,5,,,,,,,,,,,Dixie High,003,Abbeville County,0160,5/1/2018,SC,Abbeville County,Public,22,1849,3002,424,22,452,1134,110,450069000012,0.2418
29,209,425,N,,,,,,,Public,,0.491764706,209,,SY17-18,SC@003@0160,29,29,,,,,,,,,,,,,,,,2018,6,,,,,,,,,,,Dixie High,003,Abbeville County,0160,6/1/2018,SC,Abbeville County,Public,18.5,,,,1,7,27,2,450069000012,0.2418
5,173,191,Y,,,,,,,Public,,0.931937173,178,,SY17-18,SC@007@0160,108.9,1089,139.3,1393,,,,,,,,,,,,,,2017,8,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,8/1/2017,SC,Abbeville County,Public,10,121,1377,16,10,114,1072,17,450069000002,0.665
6,161,190,Y,,,,,,,Public,,0.878947368,167,,SY17-18,SC@007@0160,110.333333333,1986,143.555555556,2584,,,,,,,,,,,,,,2017,9,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,9/1/2017,SC,Abbeville County,Public,18,188,2505,79,18,178,1913,73,450069000002,0.665
7,163,189,Y,,,,,,,Public,,0.899470899,170,,SY17-18,SC@007@0160,110.142857143,2313,146.428571429,3075,,,,,,,,,,,,,,2017,10,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,10/1/2017,SC,Abbeville County,Public,21,179,2964,111,21,192,2207,106,450069000002,0.665
5,159,188,Y,,,,,,,Public,,0.872340426,164,,SY17-18,SC@007@0160,115.578947368,2196,145.473684211,2764,,,,,,,,,,,,,,2017,11,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,11/1/2017,SC,Abbeville County,Public,19,176,2681,83,19,185,2119,77,450069000002,0.665
5,159,187,Y,,,,,,,Public,,0.877005348,164,,SY17-18,SC@007@0160,110.153846154,1432,140.846153846,1831,,,,,,,,,,,,,,2017,12,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,12/1/2017,SC,Abbeville County,Public,13,146,1772,59,13,124,1390,42,450069000002,0.665
5,156,187,Y,,,,,,,Public,,0.860962567,161,,SY17-18,SC@007@0160,98.125,1570,135.0625,2161,,,,,,,,,,,,,,2018,1,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,1/1/2018,SC,Abbeville County,Public,16,152,2106,55,16,173,1533,37,450069000002,0.665
4,158,186,Y,,,,,,,Public,,0.870967742,162,,SY17-18,SC@007@0160,107.25,2145,135.9,2718,,,,,,,,,,,,,,2018,2,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,2/1/2018,SC,Abbeville County,Public,20,213,2644,74,20,240,2086,59,450069000002,0.665
4,156,185,Y,,,,,,,Public,,0.864864865,160,,SY17-18,SC@007@0160,110.238095238,2315,139.190476190,2923,,,,,,,,,,,,,,2018,3,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,3/1/2018,SC,Abbeville County,Public,21,286,2845,78,21,263,2256,59,450069000002,0.665
4,156,185,Y,,,,,,,Public,,0.864864865,160,,SY17-18,SC@007@0160,105.0625,1681,140.5625,2249,,,,,,,,,,,,,,2018,4,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,4/1/2018,SC,Abbeville County,Public,16,198,2194,55,16,206,1646,35,450069000002,0.665
4,154,183,Y,,,,,,,Public,,0.863387978,158,,SY17-18,SC@007@0160,99.318181818,2185,127.454545455,2804,,,,,,,,,,,,,,2018,5,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,5/1/2018,SC,Abbeville County,Public,22,276,2731,73,22,252,2127,58,450069000002,0.665
4,154,183,Y,,,,,,,Public,,0.841530055,154,,SY17-18,SC@007@0160,9,9,,,,,,,,,,,,,,,,2018,6,,,,,,,,,,,John C Calhoun Elementary,007,Abbeville County,0160,6/1/2018,SC,Abbeville County,Public,18.5,,,,1,0,9,0,450069000002,0.665
34,336,402,Y,,,,,,,Public,,0.920398010,370,,SY17-18,SC@020@0160,184,1840,259,2590,,,,,,,,,,,,,,2017,8,,,,,,,,,,,Long Cane Primary,020,Abbeville County,0160,8/1/2017,SC,Abbeville County,Public,10,287,2443,147,10,185,1743,97,450069000071,0.5293
31,308,412,Y,,,,,,,Public,,0.822815534,339,,SY17-18,SC@020@0160,194.611111111,3503,281.944444444,5075,,,,,,,,,,,,,,2017,9,,,,,,,,,,,Long Cane Primary,020,Abbeville County,0160,9/1/2017,SC,Abbeville County,Public,18,482,4689,386,18,327,3275,228,450069000071,0.5293
30,306,411,Y,,,,,,,Public,,0.817518248,336,,SY17-18,SC@020@0160,187.428571429,3936,280.809523810,5897,,,,,,,,,,,,,,2017,10,,,,,,,,,,,Long Cane Primary,020,Abbeville County,0160,10/1/2017,SC,Abbeville County,Public,21,617,5409,488,21,365,3657,279,450069000071,0.5293
