CEP (Y/N),Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,School Year,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,State-Physical,Enrollment-Total,Enrollment-Reduced,School Name,School ID,District Name,District ID,Claim Date,State-Reporting,NCES ID,Operating Days-Lunch Only,Enrollment-Free,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,County,School Type-Original,ISP
N,,,,,,,Public,,0.652263374,317,,SY18-19,SC@001@0160,52.555555556,473,210.777777778,1897,,,,,,,,,,,,,,2018,8,,,,,,,,,,,486,29,Abbeville High,001,Abbeville County,0160,8/1/2018,SC,450069000011,9,288,585,1778,119,9,95,434,39,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.653444676,313,,SY18-19,SC@001@0160,61.368421053,1166,219.736842105,4175,,,,,,,,,,,,,,2018,9,,,,,,,,,,,479,36,Abbeville High,001,Abbeville County,0160,9/1/2018,SC,450069000011,19,277,1111,3856,319,19,223,1063,103,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.597077244,286,,SY18-19,SC@001@0160,64.476190476,1354,204.761904762,4300,,,,,,,,,,,,,,2018,10,,,,,,,,,,,479,28,Abbeville High,001,Abbeville County,0160,10/1/2018,SC,450069000011,21,258,1376,3988,312,21,323,1257,97,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.613778706,294,,SY18-19,SC@001@0160,68.055555556,1225,209.833333333,3777,,,,,,,,,,,,,,2018,11,,,,,,,,,,,479,31,Abbeville High,001,Abbeville County,0160,11/1/2018,SC,450069000011,18,263,1157,3470,307,18,224,1137,88,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.616666667,296,,SY18-19,SC@001@0160,67.538461538,878,208.923076923,2716,,,,,,,,,,,,,,2018,12,,,,,,,,,,,480,32,Abbeville High,001,Abbeville County,0160,12/1/2018,SC,450069000011,13,264,773,2492,224,13,116,822,56,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.618947368,294,,SY18-19,SC@001@0160,64.736842105,1230,196.842105263,3740,,,,,,,,,,,,,,2019,1,,,,,,,,,,,475,30,Abbeville High,001,Abbeville County,0160,1/1/2019,SC,450069000011,19,264,956,3418,322,19,143,1137,93,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.623931624,292,,SY18-19,SC@001@0160,73.789473684,1402,209.210526316,3975,,,,,,,,,,,,,,2019,2,,,,,,,,,,,468,30,Abbeville High,001,Abbeville County,0160,2/1/2019,SC,450069000011,19,262,1067,3653,322,19,203,1273,129,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.626609442,292,,SY18-19,SC@001@0160,66.15,1323,197.05,3941,,,,,,,,,,,,,,2019,3,,,,,,,,,,,466,30,Abbeville High,001,Abbeville County,0160,3/1/2019,SC,450069000011,20,262,1055,3625,316,20,193,1222,101,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.615546218,293,,SY18-19,SC@001@0160,65.3125,1045,195.8125,3133,,,,,,,,,,,,,,2019,4,,,,,,,,,,,476,31,Abbeville High,001,Abbeville County,0160,4/1/2019,SC,450069000011,16,262,836,2889,244,16,158,963,82,Abbeville County,Public,0.3568
N,,,,,,,Public,,0.627155172,291,,SY18-19,SC@001@0160,64.363636364,1416,187.045454545,4115,,,,,,,,,,,,,,2019,5,,,,,,,,,,,464,32,Abbeville High,001,Abbeville County,0160,5/1/2019,SC,450069000011,22,259,1022,3764,351,22,177,1283,133,Abbeville County,Public,0.3568
