School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
0001,Academy for G.O.D,0P021,Academy for G.O.D,TN,,,,,,,,,,,,,10/1/2017,10,2017,,,,,,3553,0,0,,2362,0,0,,,21,21,,,,,,,,,TN,3553,169.190476190,2362,112.476190476,TN@0001@0P021,,SY17-18,,,,,,,,,,,
0001,Alamo City School,00171,Alamo City,TN,,,,,,,,,,,,,10/1/2017,10,2017,,,,,,,,,,,,,,,18.5,18,,,,,,,,,TN,,,,,TN@0001@00171,,SY17-18,,,,,,,,,,,
0001,Arlington High,00793,Arlington,TN,,Arlington,38002,5475 Airline RD,,"9,10,11,12",,,,,,,10/1/2017,10,2017,,,,,,1395,476,4739,,390,96,307,,,17,17,,,,,,,,,TN,1871,110.058823529,486,28.588235294,TN@0001@00793,470015202075,SY17-18,,,,High,,,,,,,
0001,A. Z. Kelley Elementary,00190,Davidson County,TN,,Antioch,37013,5834 Pettus RD,,"PK,K,1,2,3,4",,,,,,,10/1/2017,10,2017,,,,,,10253,0,192,,9129,0,171,,,16,16,,,,,,,,,TN,10253,640.8125,9129,570.5625,TN@0001@00190,470318002116,SY17-18,,,,Primary,,,,,,,
0001,Grad Academy,0C200,Grad Academy,TN,,,,,,,,,,,,,10/1/2017,10,2017,,,,,,7012,0,0,,3042,0,0,,,17,17,,,,,,,,,TN,7012,412.470588235,3042,178.941176471,TN@0001@0C200,,SY17-18,,,,,,,,,,,
0001,Blackman Elementary,00750,Rutherford County,TN,,Murfreesboro,37128,586 Fortress BLVD,,"K,1,2,3,4,5",,,,,,,10/1/2017,10,2017,,,,,,1940,1040,4825,,1029,440,1301,,,17,17,,,,,,,,,TN,2980,175.294117647,1469,86.411764706,TN@0001@00750,470369001502,SY17-18,,,,Primary,,,,,,,
0001,St. Clement Christian Academy,0P510,St. Clement Christian Academy,TN,,,,,,,,,,,,,10/1/2017,10,2017,,,,,,,,,,,,,,,18.5,18,,,,,,,,,TN,,,,,TN@0001@0P510,,SY17-18,,,,,,,,,,,
0002,Anderson County High School,00010,Anderson County,TN,,Clinton,37716,130 Maverick CIR,,"9,10,11,12",,,,,,,10/1/2017,10,2017,,,,,,3178,840,2656,,1972,401,683,,,16,16,,,,,,,,,TN,4018,251.125,2373,148.3125,TN@0002@00010,470009001871,SY17-18,,,,High,,,,,,,
0002,Amherst Elementary School,00470,Knox County,TN,,Knoxville,37931,5101 Schaad RD,,"N,K,1,2,3,4,5",,,,,,,10/1/2017,10,2017,,,,,,3890,836,3171,,2144,419,705,,,17,17,,,,,,,,,TN,4726,278,2563,150.764705882,TN@0002@00470,470222002065,SY17-18,,,,Primary,,,,,,,
0002,Wartburg City Park,00650,Morgan County,TN,,,,,,,,,,,,,10/1/2017,10,2017,,,,,,,,,,,,,,,18.5,18,,,,,,,,,TN,,,,,TN@0002@00650,,SY17-18,,,,,,,,,,,
