Claim Year,Claim Month,Street Address-Line 1,Zip Code,Operating Days-Lunch Only,Claim Date,County,ISP,School Level-Original,State-Physical,City,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free,Enrollment-Total,Enrollment-Free,Operating Days,School Name,School ID,District ID,District Name,CEP (Y/N),Lunch Meals-Reduced,Lunch Meals-Free,Lunch Meals-Paid,School Type-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Street Address-Line 2,NCES ID,Enrollment-Reduced,Enrollment-Paid
2019,03,130 Maverick CIR,37716,15,3/1/2019,,,"HS,PK,9,10,11,12",TN,Clinton,375,599,1744,964,327,15,Anderson County High School,0002,00010,Anderson County,,704,2836,2029,,,,,,,,,15,,,,,,,,,TN,3540,236,2119,141.266666667,TN@0002@00010,SY18-19,,409,,High,,,,,,,,,470009001871,82,555
2019,03,140 Maverick CIR,37716,18.5,3/1/2019,,,,TN,Clinton,,,,,,,Anderson County Career and Technical,0003,00010,Anderson County,,,,,,,,,,,,,18.5,,,,,,,,,TN,,,,,TN@0003@00010,SY18-19,,,,,,,,,,,,,470009000003,,
2019,03,1951  Mountain  RD,37705,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Andersonville,0,889,1767,330,219,15,Andersonville Elementary,0005,00010,Anderson County,Y,0,2330,1173,,,,,,,,,15,,,,,,,,,TN,2330,155.333333333,1767,117.8,TN@0005@00010,SY18-19,,219,0.665144162,Primary,,,,,,,,,470009000004,0,111
2019,03,103 Slatestone RD,37710,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Briceville,0,145,1253,120,108,15,Briceville Elementary,0010,00010,Anderson County,Y,0,1372,159,,,,,,,,,15,,,,,,,,,TN,1372,91.466666667,1253,83.533333333,TN@0010@00010,SY18-19,,108,0.896146310,Primary,,,,,,,,,470009000005,0,12
2019,03,2218  Clinton  HWY,37849,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Powell,0,557,4815,464,416,15,Claxton Elementary,0015,00010,Anderson County,Y,0,5318,615,,,,,,,,,15,,,,,,,,,TN,5318,354.533333333,4815,321,TN@0015@00010,SY18-19,,416,0.896342491,Primary,,,,,,,,,470009000006,0,48
2019,03,110  N  Hicks ST,37716,15,3/1/2019,,,"6,7,8",TN,Clinton,0,239,2064,598,536,15,Clinton Middle High,0020,00010,Anderson County,Y,0,5912,684,,,,,,,,,15,,,,,,,,,TN,5912,394.133333333,2064,137.6,TN@0020@00010,SY18-19,,536,0.896300788,Middle,,,,,,,,,470009000007,0,62
2019,03,425  Dragon  DR,37716,15,3/1/2019,,,"9,10,11,12",TN,Clinton,310,369,2148,953,455,15,Clinton High School,0025,00010,Anderson County,,734,4126,1972,,,,,,,,,15,,,,,,,,,TN,4860,324,2458,163.866666667,TN@0025@00010,SY18-19,,531,,High,,,,,,,,,470009000008,76,422
2019,03,1044  Old  Dutch Valley RD,37716,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Clinton,0,105,908,99,89,15,Dutch Valley Elementary,0035,00010,Anderson County,Y,0,1018,118,,,,,,,,,15,,,,,,,,,TN,1018,67.866666667,908,60.533333333,TN@0035@00010,SY18-19,,89,0.896126761,Primary,,,,,,,,,470009000011,0,10
2019,03,6715  Hickory  Valley RD,37754,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Heiskell,0,869,1725,278,185,15,Fairview Elementary,0040,00010,Anderson County,Y,0,2368,1192,,,,,,,,,15,,,,,,,,,TN,2368,157.866666667,1725,115,TN@0040@00010,SY18-19,,185,0.665168539,Primary,,,,,,,,,470009000012,0,93
2019,03,1033  Oliver  Springs HWY,37716,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Clinton,0,265,2287,295,264,15,Grand Oaks Elementary,0046,00010,Anderson County,Y,0,3051,353,,,,,,,,,15,,,,,,,,,TN,3051,203.4,2287,152.466666667,TN@0046@00010,SY18-19,,264,0.896298472,Primary,,,,,,,,,470009002002,0,31
