BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,School Year,District ID,District Name,School ID,School Name,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Claim Year,Claim Month,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),School Type-Original,Street Address-Line 2,School Level-Original,Breakfast Delivery Model from State Agency Tracking-Original,Street Address-Line 1,City,State-Physical,Zip Code,County,CEP (Y/N),Claim Date,Enrollment-Free,Enrollment-Reduced,Enrollment-Total,Enrollment-Paid,Operating Days-Lunch Only,Operating Days-Breakfast Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,NCES ID
,,Cafeteria,,,,,Primary,0.135026738,101,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,24.125,193,52.875,423,UT,,,,,,,,,,,,2017,8,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,8/1/2017,75,26,748,647,8,8,328,95,1423,139,54,100,490003000001
,,Cafeteria,,,,,Primary,0.136729223,102,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,22.9,458,54.65,1093,UT,,,,,,,,,,,,2017,9,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,9/1/2017,75,27,746,644,20,20,817,276,4334,333,125,300,490003000001
,,Cafeteria,,,,,Primary,0.095302013,71,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,17.263157895,328,41.736842105,793,UT,,,,,,,,,,,,2017,10,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,10/1/2017,59,12,745,674,19,19,620,173,4579,226,102,331,490003000001
,,Cafeteria,,,,,Primary,0.101740295,76,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,18.210526316,346,43.368421053,824,UT,,,,,,,,,,,,2017,11,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,11/1/2017,63,13,747,671,19,19,631,193,4843,207,139,326,490003000001
,,Cafeteria,,,,,Primary,0.110225764,83,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,20.928571429,293,46.357142857,649,UT,,,,,,,,,,,,2017,12,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,12/1/2017,66,17,753,670,14,14,492,157,3593,163,130,240,490003000001
,,Cafeteria,,,,,Primary,0.113333333,85,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,24.3,486,48.95,979,UT,,,,,,,,,,,,2018,1,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,1/1/2018,68,17,750,665,20,20,722,257,4711,261,225,395,490003000001
,,Cafeteria,,,,,Primary,0.121495327,91,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,19.789473684,376,48.789473684,927,UT,,,,,,,,,,,,2018,2,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,2/1/2018,74,17,749,658,19,19,694,233,4581,223,153,356,490003000001
,,Cafeteria,,,,,Primary,0.119565217,88,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,19,399,50.761904762,1066,UT,,,,,,,,,,,,2018,3,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,3/1/2018,75,13,736,648,21,21,853,213,5178,260,139,374,490003000001
,,Cafeteria,,,,,Primary,0.119565217,88,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,18.3125,293,51.25,820,UT,,,,,,,,,,,,2018,4,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,4/1/2018,75,13,736,648,16,16,657,163,3996,198,95,305,490003000001
,,Cafeteria,,,,,Primary,0.119565217,88,,SY17-18,01,ALPINE SCHOOL DISTRICT,01-104,ALPINE ELEMENTARY,UT@ 01-104@1,17.761904762,373,50.809523810,1067,UT,,,,,,,,,,,,2018,5,,,,,,,Elementary,Traditional,400 E 300 N,ALPINE,UT,84004,Utah,N,5/1/2018,75,13,736,648,21,21,849,218,5294,253,120,406,490003000001
