"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2018-2019","1","Accomack County","701","Accawmacke Elementary","502","","502"
"2018-2019","1","Accomack County","540","Arcadia High","656","","656"
"2018-2019","1","Accomack County","704","Arcadia Middle","535","","535"
"2018-2019","1","Accomack County","80","Chincoteague Elementary","244","","244"
"2018-2019","1","Accomack County","580","Chincoteague High","293","","293"
"2018-2019","1","Accomack County","600","Kegotank Elementary","582","","582"
"2018-2019","1","Accomack County","702","Metompkin Elementary","581","","581"
"2018-2019","1","Accomack County","70","Nandua High","704","1","705"
"2018-2019","1","Accomack County","703","Nandua Middle","509","","509"
"2018-2019","1","Accomack County","590","Pungoteague Elementary","457","","457"
"2018-2019","1","Accomack County","530","Tangier Combined","52","","52"
"2018-2019","2","Albemarle County","160","Agnor-Hurt Elementary","482","","482"
"2018-2019","2","Albemarle County","1060","Albemarle County Community Public Charter","46","","46"
"2018-2019","2","Albemarle County","880","Albemarle High","1,914","13","1,927"
"2018-2019","2","Albemarle County","1053","Baker-Butler Elem","640","","640"
"2018-2019","2","Albemarle County","100","Broadus Wood Elementary","280","","280"
"2018-2019","2","Albemarle County","941","Brownsville Elementary","817","","817"
"2018-2019","2","Albemarle County","340","Crozet Elementary","363","","363"
"2018-2019","2","Albemarle County","10","Hollymead Elementary","440","","440"
"2018-2019","2","Albemarle County","950","Jack Jouett Middle","609","","609"
"2018-2019","2","Albemarle County","69","Jackson P. Burley Middle","584","","584"
"2018-2019","2","Albemarle County","942","Joseph T. Henley Middle","899","1","900"
"2018-2019","2","Albemarle County","20","Leslie H. Walton Middle","358","","358"
"2018-2019","2","Albemarle County","40","Mary Carr Greer Elementary","577","","577"
"2018-2019","2","Albemarle County","250","Meriwether Lewis Elementary","405","","405"
"2018-2019","2","Albemarle County","1052","Monticello High","1,138","4","1,142"
"2018-2019","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","590","1","591"
"2018-2019","2","Albemarle County","890","Murray High","89","","89"
"2018-2019","2","Albemarle County","150","Paul H. Cale Elementary","683","","683"
"2018-2019","2","Albemarle County","540","Red Hill Elementary","196","","196"
"2018-2019","2","Albemarle County","30","Scottsville Elementary","250","","250"
"2018-2019","2","Albemarle County","920","Stone Robinson Elementary","433","","433"
"2018-2019","2","Albemarle County","240","Stony Point Elementary","239","","239"
"2018-2019","2","Albemarle County","910","Virginia L. Murray Elementary","270","","270"
"2018-2019","2","Albemarle County","140","Western Albemarle High","1,158","","1,158"
"2018-2019","2","Albemarle County","930","Woodbrook Elementary","534","","534"
