"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2017-2018","1","Accomack County","701","Accawmacke Elementary","550","","550"
"2017-2018","1","Accomack County","540","Arcadia High","622","","622"
"2017-2018","1","Accomack County","704","Arcadia Middle","519","","519"
"2017-2018","1","Accomack County","80","Chincoteague Elementary","236","","236"
"2017-2018","1","Accomack County","580","Chincoteague High","286","","286"
"2017-2018","1","Accomack County","600","Kegotank Elementary","583","","583"
"2017-2018","1","Accomack County","702","Metompkin Elementary","600","","600"
"2017-2018","1","Accomack County","70","Nandua High","739","1","740"
"2017-2018","1","Accomack County","703","Nandua Middle","514","","514"
"2017-2018","1","Accomack County","590","Pungoteague Elementary","485","","485"
"2017-2018","1","Accomack County","530","Tangier Combined","60","","60"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","518","","518"
"2017-2018","2","Albemarle County","1060","Albemarle County Community Public Charter","38","","38"
"2017-2018","2","Albemarle County","880","Albemarle High","1,992","5","1,997"
"2017-2018","2","Albemarle County","1053","Baker-Butler Elem","643","","643"
"2017-2018","2","Albemarle County","100","Broadus Wood Elementary","286","","286"
"2017-2018","2","Albemarle County","941","Brownsville Elementary","767","","767"
"2017-2018","2","Albemarle County","340","Crozet Elementary","353","","353"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","468","","468"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","559","","559"
"2017-2018","2","Albemarle County","69","Jackson P. Burley Middle","565","","565"
"2017-2018","2","Albemarle County","942","Joseph T. Henley Middle","863","1","864"
"2017-2018","2","Albemarle County","20","Leslie H. Walton Middle","351","","351"
"2017-2018","2","Albemarle County","40","Mary Carr Greer Elementary","675","","675"
"2017-2018","2","Albemarle County","250","Meriwether Lewis Elementary","432","","432"
"2017-2018","2","Albemarle County","1052","Monticello High","1,130","3","1,133"
"2017-2018","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","601","1","602"
"2017-2018","2","Albemarle County","890","Murray High","100","","100"
"2017-2018","2","Albemarle County","150","Paul H. Cale Elementary","663","","663"
"2017-2018","2","Albemarle County","540","Red Hill Elementary","203","","203"
"2017-2018","2","Albemarle County","30","Scottsville Elementary","264","","264"
"2017-2018","2","Albemarle County","920","Stone Robinson Elementary","451","","451"
"2017-2018","2","Albemarle County","240","Stony Point Elementary","252","","252"
"2017-2018","2","Albemarle County","910","Virginia L. Murray Elementary","266","","266"
"2017-2018","2","Albemarle County","140","Western Albemarle High","1,139","","1,139"
"2017-2018","2","Albemarle County","930","Woodbrook Elementary","348","","348"
"2017-2018","101","Alexandria City","120","Charles Barrett Elementary","503","1","504"
"2017-2018","101","Alexandria City","160","Cora Kelly Magnet Elementary","426","1","427"
"2017-2018","101","Alexandria City","110","Douglas Macarthur Elementary","734","3","737"
"2017-2018","101","Alexandria City","140","Francis C. Hammond Middle","1,424","6","1,430"
"2017-2018","101","Alexandria City","100","George Mason Elementary","575","5","580"
"2017-2018","101","Alexandria City","130","George Washington Middle","1,383","14","1,397"
"2017-2018","101","Alexandria City","220","James K. Polk Elementary","818","","818"
"2017-2018","101","Alexandria City","90","Jefferson-Houston Elementary","637","22","659"
"2017-2018","101","Alexandria City","230","John Adams Elementary","1,038","11","1,049"
"2017-2018","101","Alexandria City","80","Lyles-Crouch Elementary","437","5","442"
"2017-2018","101","Alexandria City","60","Maury Elementary","429","1","430"
"2017-2018","101","Alexandria City","30","Mount Vernon Elementary","935","1","936"
"2017-2018","101","Alexandria City","50","Patrick Henry Elementary","675","8","683"
"2017-2018","101","Alexandria City","333","Samuel W. Tucker Elementary","815","3","818"
"2017-2018","101","Alexandria City","210","T.C. Williams High","3,963","11","3,974"
"2017-2018","101","Alexandria City","190","William Ramsay Elementary","918","","918"
"2017-2018","3","Alleghany County","310","Alleghany High","729","","729"
"2017-2018","3","Alleghany County","110","Callaghan Elementary","205","","205"
"2017-2018","3","Alleghany County","1040","Clifton Middle","512","","512"
"2017-2018","3","Alleghany County","1041","Mountain View Elementary","544","","544"
"2017-2018","3","Alleghany County","90","Sharon Elementary","200","","200"
"2017-2018","4","Amelia County","220","Amelia County Elementary","725","","725"
"2017-2018","4","Amelia County","10","Amelia County High","547","","547"
"2017-2018","4","Amelia County","210","Amelia County Middle","520","","520"
"2017-2018","5","Amherst County","780","Amelon Elementary","446","","446"
"2017-2018","5","Amherst County","750","Amherst County High","1,183","","1,183"
"2017-2018","5","Amherst County","790","Amherst Elementary","291","","291"
"2017-2018","5","Amherst County","670","Amherst Middle","358","","358"
"2017-2018","5","Amherst County","770","Central Elementary","352","","352"
"2017-2018","5","Amherst County","760","Elon Elementary","315","","315"
"2017-2018","5","Amherst County","500","Madison Heights Elementary","435","","435"
"2017-2018","5","Amherst County","20","Monelison Middle","555","","555"
"2017-2018","5","Amherst County","740","Temperance Elementary","113","","113"
"2017-2018","6","Appomattox County","260","Appomattox County High","700","","700"
"2017-2018","6","Appomattox County","110","Appomattox Elementary","530","","530"
"2017-2018","6","Appomattox County","160","Appomattox Middle","483","","483"
"2017-2018","6","Appomattox County","250","Appomattox Primary","557","","557"
"2017-2018","7","Arlington County","350","Abingdon Elementary","655","","655"
"2017-2018","7","Arlington County","618","Arlington Community High","168","","168"
"2017-2018","7","Arlington County","613","Arlington Science Focus","681","","681"
"2017-2018","7","Arlington County","470","Arlington Traditional","540","","540"
"2017-2018","7","Arlington County","490","Ashlawn Elementary","689","","689"
"2017-2018","7","Arlington County","150","Barcroft Elementary","429","","429"
"2017-2018","7","Arlington County","250","Barrett Elementary","539","","539"
"2017-2018","7","Arlington County","615","Campbell Elementary","429","","429"
"2017-2018","7","Arlington County","90","Carlin Springs Elementary","616","","616"
"2017-2018","7","Arlington County","622","Claremont Immersion","744","","744"
"2017-2018","7","Arlington County","626","Discovery Elementary","621","","621"
"2017-2018","7","Arlington County","200","Drew Model Elementary","695","","695"
"2017-2018","7","Arlington County","111","Francis Scott Key Elementary","739","","739"
"2017-2018","7","Arlington County","100","Glebe Elementary","625","","625"
"2017-2018","7","Arlington County","611","Gunston Middle","1,023","","1,023"
"2017-2018","7","Arlington County","160","Henry Elementary","661","","661"
"2017-2018","7","Arlington County","614","Hoffman-Boston Elementary","526","","526"
"2017-2018","7","Arlington County","440","Jamestown Elementary","610","","610"
"2017-2018","7","Arlington County","180","Jefferson Middle","1,094","","1,094"
"2017-2018","7","Arlington County","500","Kenmore Middle","959","","959"
"2017-2018","7","Arlington County","460","Long Branch Elementary","635","","635"
"2017-2018","7","Arlington County","380","McKinley Elementary","800","","800"
"2017-2018","7","Arlington County","410","Nottingham Elementary","523","","523"
"2017-2018","7","Arlington County","360","Oakridge Elementary","798","","798"
"2017-2018","7","Arlington County","510","Randolph Elementary","468","","468"
"2017-2018","7","Arlington County","240","Swanson Middle","1,305","","1,305"
"2017-2018","7","Arlington County","420","Taylor Elementary","674","","674"
"2017-2018","7","Arlington County","211","Tuckahoe Elementary","538","","538"
"2017-2018","7","Arlington County","450","Wakefield High","2,248","","2,248"
"2017-2018","7","Arlington County","80","Washington-Lee High","2,437","","2,437"
"2017-2018","7","Arlington County","480","Williamsburg Middle","1,316","","1,316"
"2017-2018","7","Arlington County","330","Yorktown High","2,190","","2,190"
"2017-2018","8","Augusta County","212","Beverley Manor Middle","714","","714"
"2017-2018","8","Augusta County","660","Buffalo Gap High","487","","487"
"2017-2018","8","Augusta County","30","Cassell Elementary","685","","685"
"2017-2018","8","Augusta County","140","Churchville Elementary","415","","415"
"2017-2018","8","Augusta County","370","Craigsville Elementary","150","","150"
"2017-2018","8","Augusta County","842","Edward G. Clymore Elementary","797","","797"
"2017-2018","8","Augusta County","670","Fort Defiance High","787","","787"
"2017-2018","8","Augusta County","843","Guy K. Stump Elementary","402","","402"
"2017-2018","8","Augusta County","40","North River Elementary","292","","292"
"2017-2018","8","Augusta County","740","Riverheads Elementary","693","","693"
"2017-2018","8","Augusta County","680","Riverheads High","460","1","461"
"2017-2018","8","Augusta County","90","S. Gordon Stewart Middle","531","","531"
"2017-2018","8","Augusta County","440","Stuarts Draft Elementary","626","","626"
"2017-2018","8","Augusta County","730","Stuarts Draft High","722","","722"
"2017-2018","8","Augusta County","60","Stuarts Draft Middle","563","","563"
"2017-2018","8","Augusta County","640","Wilson Elementary","661","","661"
"2017-2018","8","Augusta County","720","Wilson Memorial High","762","","762"
"2017-2018","8","Augusta County","844","Wilson Middle","615","","615"
"2017-2018","9","Bath County","140","Bath County High","208","","208"
"2017-2018","9","Bath County","120","Millboro Elementary","142","","142"
"2017-2018","9","Bath County","150","Valley Elementary","205","","205"
"2017-2018","10","Bedford County","480","Bedford Elementary","481","","481"
"2017-2018","10","Bedford County","490","Bedford Middle","572","1","573"
"2017-2018","10","Bedford County","1200","Bedford Primary","266","","266"
"2017-2018","10","Bedford County","30","Big Island Elementary","137","","137"
"2017-2018","10","Bedford County","160","Boonsboro Elementary","303","","303"
"2017-2018","10","Bedford County","500","Forest Elementary","359","","359"
"2017-2018","10","Bedford County","1211","Forest Middle","947","","947"
"2017-2018","10","Bedford County","1214","Goodview Elementary","485","","485"
"2017-2018","10","Bedford County","980","Huddleston Elementary","285","","285"
"2017-2018","10","Bedford County","1212","Jefferson Forest High","1,387","1","1,388"
"2017-2018","10","Bedford County","1180","Liberty High","812","","812"
"2017-2018","10","Bedford County","970","Moneta Elementary","243","","243"
"2017-2018","10","Bedford County","180","Montvale Elementary","268","","268"
"2017-2018","10","Bedford County","610","New London Academy Elementary","319","","319"
"2017-2018","10","Bedford County","1170","Otter River Elementary","224","","224"
"2017-2018","10","Bedford County","1190","Staunton River High","967","","967"
"2017-2018","10","Bedford County","1191","Staunton River Middle","713","1","714"
"2017-2018","10","Bedford County","640","Stewartsville Elementary","347","","347"
"2017-2018","10","Bedford County","1213","Thomas Jefferson Elementary","604","","604"
"2017-2018","11","Bland County","250","Bland County Elementary","347","","347"
"2017-2018","11","Bland County","260","Bland County High","383","","383"
"2017-2018","12","Botetourt County","220","Breckinridge Elementary","203","","203"
"2017-2018","12","Botetourt County","20","Buchanan Elementary","259","","259"
"2017-2018","12","Botetourt County","420","Central Academy Middle","388","","388"
"2017-2018","12","Botetourt County","390","Cloverdale Elementary","269","","269"
"2017-2018","12","Botetourt County","400","Colonial Elementary","379","","379"
"2017-2018","12","Botetourt County","30","Eagle Rock Elementary","146","","146"
"2017-2018","12","Botetourt County","460","Greenfield Elementary","421","","421"
"2017-2018","12","Botetourt County","430","James River High","548","","548"
"2017-2018","12","Botetourt County","440","Lord Botetourt High","1,052","","1,052"
"2017-2018","12","Botetourt County","450","Read Mountain Middle","722","","722"
"2017-2018","12","Botetourt County","40","Troutville Elementary","261","","261"
"2017-2018","102","Bristol City","60","Highland View Elementary","175","","175"
